"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00111169","1891-11","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","12",",6","9",",6","4",",6","","","0",",6","","","","","","","2","","","","18911123",",,6","18911109",",,6","","","","","13",",,6,23,","42.7",",,6,09,","","","185.4",",,,6","13",",,,6","",""
"USC00111169","1891-12","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","8",",6","7",",6","1",",6","","","0",",6","","","","","","","","","","","18911231","+,,6","18911224",",,6","","","","","0",",,6,31,+","29.5",",,6,24,","","","88.1",",,,6","0",",,,6","",""
"USC00111169","1892-01","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","6",",6","5",",6","0",",6","","","0",",6","","","","","","","","","","","18920119","+,,6","18920119",",,6","","","","","15",",,6,19,+","16.0",",,6,19,","","","51.6",",,,6","38",",,,6","",""
"USC00111169","1892-02","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","10",",6","8",",6","0",",6","","","","","","","","","","","","","","","","","18920207",",,6","","","","","","","21.8",",,6,07,","","","84.2",",,,6","","","",""
"USC00111169","1892-03","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","12",",6","7",",6","0",",6","","","0",",6","","","","","","","","","","","18920315",",,6","18920323",",,6","","","","","10",",,6,15,","23.9",",,6,23,","","","58.4",",,,6","21",",,,6","",""
"USC00111169","1892-04","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","14",",6","9",",6","1",",6","","","","","","","","","","","","","","","","","18920428",",,6","","","","","","","29.0",",,6,28,","","","134.2",",,,6","","","",""
"USC00111169","1892-05","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","15",",6","8",",6","2",",6","","","","","","","","","","","","","","","","","18920514",",,6","","","","","","","33.0",",,6,14,","","","136.3",",,,6","","","",""
"USC00111169","1892-06","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","13",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","18920627",",,6","","","","","","","18.3",",,6,27,","","","95.2",",,,6","","","",""
"USC00111169","1892-07","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","9",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","18920708",",,6","","","","","","","16.3",",,6,08,","","","44.1",",,,6","","","",""
"USC00111169","1892-08","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","13",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","18920812",",,6","","","","","","","71.1",",,6,12,","","","132.3",",,,6","","","",""
"USC00111169","1892-09","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","4",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","18920913",",,6","","","","","","","17.3",",,6,13,","","","22.9",",,,6","","","",""
"USC00111169","1892-10","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","6",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","18921020",",,6","","","","","","","5.1",",,6,20,","","","18.7",",,,6","","","",""
"USC00111169","1892-11","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","14",",6","8",",6","0",",6","","","","","","","","","","","1","","","","","","18921102",",,6","","","","","","","23.6",",,6,02,","","","106.7",",,,6","","","",""
"USC00111169","1892-12","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","12",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","18921231",",,6","","","","","","","25.7",",,6,31,","","","80.1",",,,6","","","",""
"USC00111169","1893-01","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","8",",6","2",",6","1",",6","","","1",",6","","","","","","","","","","","18930118",",,6","18930101",",,6","","","","","107",",,6,18,","37.1",",,6,01,","","","50.9",",,,6","151",",,,6","",""
"USC00111169","1893-02","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","16",",6","9",",6","1",",6","","","","","","","","","","","1","","","","","","18930217",",,6","","","","","","","26.9",",,6,17,","","","100.2",",,,6","","","",""
"USC00111169","1893-03","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","8",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","18930324",",,6","","","","","","","34.3",",,6,24,","","","53.1",",,,6","","","",""
"USC00111169","1893-04","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","13",",6","11",",6","1",",6","","","","","","","","","","","","","","","","","18930414",",,6","","","","","","","37.1",",,6,14,","","","140.5",",,,6","","","",""
"USC00111169","1893-05","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","13",",6","11",",6","2",",6","","","","","","","","","","","","","","","","","18930501",",,6","","","","","","","66.8",",,6,01,","","","195.1",",,,6","","","",""
"USC00111169","1893-06","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","12",",6","7",",6","3",",6","","","","","","","","","","","","","","","","","18930605",",,6","","","","","","","74.7",",,6,05,","","","199.8",",,,6","","","",""
"USC00111169","1893-07","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","7",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","18930709",",,6","","","","","","","20.3",",,6,09,","","","34.2",",,,6","","","",""
"USC00111169","1893-09","37.00444","-89.17861","82.3","CAIRO RIVER, IL US","9",",6","8",",6","2",",6","","","","","","","","","","","","","","","","","18930910",",,6","","","","","","","68.6",",,6,10,","","","171.4",",,,6","","","",""
