"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00097460","1993-02","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","4,S","0","4,S","0","5,S","23","5,S","6","5,S","19930218",",4,S","19930202",",5,S","18.2","4,S,18,","32.5","5,S,02,","","","26.45","8,S","31.46","5,,,S","21.44","4,,,S"
"IDM00097460","1993-05","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","5,S","0","5,S","0","4,S","27","4,S","1","4,S","19930516",",5,S","19930505",",4,S","19.4","5,S,16,","32.2","4,S,05,","","","26.50","9,S","30.80","4,,,S","22.19","5,,,S"
"IDM00097460","1993-06","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","4,S","0","4,S","","","","","","","19930617",",4,S","","","20.1","4,S,17,","","","","","","","","","21.88","4,,,S"
"IDM00097460","1993-08","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","3,S","0","3,S","0","3,S","28","3,S","0","3,S","19930820",",3,S","19930816",",3,S","16.8","3,S,20,","31.6","3,S,16,","","","24.81","6,S","30.18","3,,,S","19.45","3,,,S"
"IDM00097460","1993-09","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","5,S","0","5,S","0","4,S","26","4,S","0","4,S","19930909",",5,S","19930919",",4,S","19.6","5,S,09,","31.8","4,S,19,","","","25.37","9,S","29.53","4,,,S","21.20","5,,,S"
"IDM00097460","1993-11","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","4,S","0","4,S","0","3,S","27","3,S","7","3,S","19931129",",4,S","19931102",",3,S","20.0","4,S,29,","33.6","3,S,02,","","","26.78","6,S","31.80","3,,,S","21.75","4,,,S"
"IDM00097460","1995-02","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","199.4","4,S","0","2,S","0","2,S","0","3,S","25","3,S","1","3,S","19950222",",2,S","19950213",",3,S","20.8","2,S,22,","32.2","3,S,13,","0.0","3,S","26.62","4,S","30.98","3,,,S","22.25","2,,,S"
"IDM00097460","1995-04","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","208.2","5,S","0","3,S","0","3,S","0","3,S","27","3,S","0","3,S","19950416",",3,S","19950409",",3,S","20.6","3,S,16,","32.1","3,S,09,","0.0","3,S","26.70","5,S","30.97","3,,,S","22.43","3,,,S"
"IDM00097460","1995-05","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","223.2","5,S","0","3,S","0","3,S","0","3,S","28","3,S","1","3,S","19950527","+,3,S","19950517",",3,S","21.0","3,S,27,+","32.6","3,S,17,","0.0","3,S","26.96","5,S","31.28","3,,,S","22.65","3,,,S"
"IDM00097460","1995-06","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","5,S","0","5,S","0","4,S","26","4,S","1","4,S","19950626",",5,S","19950604",",4,S","21.5","5,S,26,","32.6","4,S,04,","","","26.34","8,S","30.05","4,,,S","22.64","5,,,S"
"IDM00097460","1995-07","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","3,S","0","3,S","0","5,S","26","5,S","0","5,S","19950726",",3,S","19950730",",5,S","19.8","3,S,26,","31.0","5,S,30,","","","25.36","7,S","29.14","5,,,S","21.58","3,,,S"
"IDM00097460","1995-08","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","","","0","5,S","0","5,S","","","","","","","19950825",",5,S","","","16.0","5,S,25,","","","","","","","","","22.26","5,,,S"
"IDM00097460","1995-09","-1.617","124.55","3.0","LABUHA TALIABU, ID","","","206.6","3,S","0","1,S","0","1,S","0","2,S","28","2,S","0","2,S","19950907",",1,S","19950930",",2,S","21.3","1,S,07,","31.4","2,S,30,","0.0","2,S","26.01","3,S","29.55","2,,,S","22.47","1,,,S"
