"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"GG000037515","1936-01","41.833","43.383","794.0","BORZOMI, GG","6",",I","2",",I","0",",I","","","","","","","19360125",",,I","","","5.1",",,I,25,","","","12.5",",,,I","",""
"GG000037515","1936-02","41.833","43.383","794.0","BORZOMI, GG","12",",I","7",",I","0",",I","","","","","","","19360211",",,I","","","9.9",",,I,11,","","","47.8",",,,I","",""
"GG000037515","1936-03","41.833","43.383","794.0","BORZOMI, GG","7","4,I","3","4,I","0","4,I","","","","","","","19360329",",4,I","","","10.6","4,,I,29,","","","21.6","4,,,I","",""
"GG000037515","1936-04","41.833","43.383","794.0","BORZOMI, GG","18",",I","12",",I","0",",I","","","","","","","19360426",",,I","","","17.7",",,I,26,","","","114.3",",,,I","",""
"GG000037515","1936-05","41.833","43.383","794.0","BORZOMI, GG","19",",I","11",",I","0",",I","","","","","","","19360530",",,I","","","14.6",",,I,30,","","","94.2",",,,I","",""
"GG000037515","1936-06","41.833","43.383","794.0","BORZOMI, GG","20",",I","11",",I","0",",I","","","","","","","19360612",",,I","","","20.5",",,I,12,","","","99.9",",,,I","",""
"GG000037515","1936-07","41.833","43.383","794.0","BORZOMI, GG","16",",I","10",",I","0",",I","","","","","","","19360728",",,I","","","17.8",",,I,28,","","","77.7",",,,I","",""
"GG000037515","1936-08","41.833","43.383","794.0","BORZOMI, GG","6",",I","3",",I","0",",I","","","","","","","19360825",",,I","","","12.0",",,I,25,","","","22.5",",,,I","",""
"GG000037515","1936-09","41.833","43.383","794.0","BORZOMI, GG","12","1,I","8","1,I","1","1,I","","","","","","","19360917",",1,I","","","27.2","1,,I,17,","","","103.5","1,,,I","",""
"GG000037515","1936-10","41.833","43.383","794.0","BORZOMI, GG","20","2,I","12","2,I","0","2,I","","","","","","","19361016",",2,I","","","19.0","2,,I,16,","","","111.6","2,,,I","",""
"GG000037515","1936-11","41.833","43.383","794.0","BORZOMI, GG","11","2,I","8","2,I","0","2,I","","","","","","","19361122",",2,I","","","15.0","2,,I,22,","","","60.8","2,,,I","",""
"GG000037515","1936-12","41.833","43.383","794.0","BORZOMI, GG","9","1,I","5","1,I","0","1,I","","","","","","","19361207",",1,I","","","12.9","1,,I,07,","","","49.0","1,,,I","",""
"GG000037515","1937-01","41.833","43.383","794.0","BORZOMI, GG","11",",I","6",",I","0",",I","","","","","","","19370129",",,I","","","5.3",",,I,29,","","","25.3",",,,I","",""
"GG000037515","1937-02","41.833","43.383","794.0","BORZOMI, GG","8",",I","5",",I","0",",I","","","","","","","19370225",",,I","","","5.6",",,I,25,","","","22.5",",,,I","",""
"GG000037515","1937-03","41.833","43.383","794.0","BORZOMI, GG","7",",I","4",",I","0",",I","","","","","","","19370320",",,I","","","3.9",",,I,20,","","","15.9",",,,I","",""
"GG000037515","1937-04","41.833","43.383","794.0","BORZOMI, GG","14","3,I","9","3,I","0","3,I","","","","","","","19370407",",3,I","","","19.1","3,,I,07,","","","63.6","3,,,I","",""
"GG000037515","1937-05","41.833","43.383","794.0","BORZOMI, GG","15","1,I","11","1,I","0","1,I","","","","","","","19370531",",1,I","","","12.1","1,,I,31,","","","81.7","1,,,I","",""
"GG000037515","1937-06","41.833","43.383","794.0","BORZOMI, GG","13","2,I","5","2,I","0","2,I","","","","","","","19370601",",2,I","","","16.7","2,,I,01,","","","57.8","2,,,I","",""
"GG000037515","1937-07","41.833","43.383","794.0","BORZOMI, GG","3","1,I","0","1,I","0","1,I","","","","","","","19370707",",1,I","","","1.3","1,,I,07,","","","3.4","1,,,I","",""
"GG000037515","1937-08","41.833","43.383","794.0","BORZOMI, GG","16",",I","14",",I","0",",I","","","","","","","19370806",",,I","","","15.0",",,I,06,","","","98.6",",,,I","",""
"GG000037515","1937-09","41.833","43.383","794.0","BORZOMI, GG","7",",I","5",",I","0",",I","","","","","","","19370907",",,I","","","24.8",",,I,07,","","","59.9",",,,I","",""
"GG000037515","1937-10","41.833","43.383","794.0","BORZOMI, GG","11",",I","5",",I","0",",I","","","","","","","19371017",",,I","","","10.5",",,I,17,","","","31.9",",,,I","",""
"GG000037515","1937-11","41.833","43.383","794.0","BORZOMI, GG","5","2,I","4","2,I","0","2,I","","","","","","","19371126",",2,I","","","9.7","2,,I,26,","","","25.4","2,,,I","",""
"GG000037515","1937-12","41.833","43.383","794.0","BORZOMI, GG","7",",I","5",",I","0",",I","","","","","","","19371225",",,I","","","9.8",",,I,25,","","","27.6",",,,I","",""
"GG000037515","1938-01","41.833","43.383","794.0","BORZOMI, GG","14",",I","3",",I","0",",I","","","","","","","19380106",",,I","","","4.0",",,I,06,","","","22.0",",,,I","",""
"GG000037515","1938-02","41.833","43.383","794.0","BORZOMI, GG","14","1,I","7","1,I","0","1,I","","","","","","","19380223",",1,I","","","9.3","1,,I,23,","","","60.8","1,,,I","",""
"GG000037515","1938-03","41.833","43.383","794.0","BORZOMI, GG","10",",I","8",",I","0",",I","","","","","","","19380311",",,I","","","11.4",",,I,11,","","","44.9",",,,I","",""
"GG000037515","1938-04","41.833","43.383","794.0","BORZOMI, GG","19",",I","13",",I","0",",I","","","","","","","19380402",",,I","","","18.1",",,I,02,","","","103.4",",,,I","",""
"GG000037515","1938-05","41.833","43.383","794.0","BORZOMI, GG","15","1,I","6","1,I","0","1,I","","","","","","","19380503",",1,I","","","22.7","1,,I,03,","","","72.8","1,,,I","",""
"GG000037515","1938-06","41.833","43.383","794.0","BORZOMI, GG","10",",I","4",",I","0",",I","","","","","","","19380614",",,I","","","22.5",",,I,14,","","","50.2",",,,I","",""
"GG000037515","1938-07","41.833","43.383","794.0","BORZOMI, GG","8","1,I","5","1,I","0","1,I","","","","","","","19380718",",1,I","","","14.4","1,,I,18,","","","33.3","1,,,I","",""
"GG000037515","1938-08","41.833","43.383","794.0","BORZOMI, GG","7","1,I","5","1,I","0","1,I","","","","","","","19380809",",1,I","","","11.3","1,,I,09,","","","42.7","1,,,I","",""
"GG000037515","1938-09","41.833","43.383","794.0","BORZOMI, GG","11","1,I","6","1,I","0","1,I","","","","","","","19380923",",1,I","","","16.3","1,,I,23,","","","68.6","1,,,I","",""
"GG000037515","1938-10","41.833","43.383","794.0","BORZOMI, GG","6","1,I","1","1,I","0","1,I","","","","","","","19381010",",1,I","","","10.2","1,,I,10,","","","13.2","1,,,I","",""
"GG000037515","1938-11","41.833","43.383","794.0","BORZOMI, GG","7","1,I","3","1,I","0","1,I","","","","","","","19381119",",1,I","","","10.0","1,,I,19,","","","28.3","1,,,I","",""
"GG000037515","1938-12","41.833","43.383","794.0","BORZOMI, GG","11","2,I","2","2,I","0","2,I","","","","","","","19381211",",2,I","","","5.0","2,,I,11,","","","17.6","2,,,I","",""
"GG000037515","1939-01","41.833","43.383","794.0","BORZOMI, GG","8","1,I","5","1,I","0","1,I","","","","","","","19390103",",1,I","","","5.0","1,,I,03,","","","24.0","1,,,I","",""
"GG000037515","1939-02","41.833","43.383","794.0","BORZOMI, GG","10","1,I","6","1,I","0","1,I","","","","","","","19390202",",1,I","","","20.0","1,,I,02,","","","56.7","1,,,I","",""
"GG000037515","1939-03","41.833","43.383","794.0","BORZOMI, GG","16",",I","9",",I","0",",I","","","","","","","19390331",",,I","","","10.6",",,I,31,","","","77.1",",,,I","",""
"GG000037515","1939-04","41.833","43.383","794.0","BORZOMI, GG","10","2,I","6","2,I","0","2,I","","","","","","","19390401",",2,I","","","8.6","2,,I,01,","","","37.9","2,,,I","",""
"GG000037515","1939-05","41.833","43.383","794.0","BORZOMI, GG","14","1,I","7","1,I","0","1,I","","","","","","","19390503",",1,I","","","16.8","1,,I,03,","","","63.0","1,,,I","",""
"GG000037515","1939-06","41.833","43.383","794.0","BORZOMI, GG","16","1,I","9","1,I","0","1,I","","","","","","","19390604",",1,I","","","22.9","1,,I,04,","","","86.5","1,,,I","",""
"GG000037515","1939-07","41.833","43.383","794.0","BORZOMI, GG","13","3,I","7","3,I","0","3,I","","","","","","","19390721",",3,I","","","16.1","3,,I,21,","","","50.9","3,,,I","",""
"GG000037515","1939-08","41.833","43.383","794.0","BORZOMI, GG","19","1,I","11","1,I","0","1,I","","","","","","","19390803",",1,I","","","23.7","1,,I,03,","","","111.8","1,,,I","",""
"GG000037515","1939-09","41.833","43.383","794.0","BORZOMI, GG","9","2,I","8","2,I","0","2,I","","","","","","","19390901",",2,I","","","15.0","2,,I,01,","","","75.3","2,,,I","",""
"GG000037515","1939-10","41.833","43.383","794.0","BORZOMI, GG","13","2,I","11","2,I","1","2,I","","","","","","","19391007",",2,I","","","30.5","2,,I,07,","","","125.0","2,,,I","",""
"GG000037515","1939-11","41.833","43.383","794.0","BORZOMI, GG","15","1,I","10","1,I","0","1,I","","","","","","","19391120",",1,I","","","23.0","1,,I,20,","","","85.0","1,,,I","",""
"GG000037515","1939-12","41.833","43.383","794.0","BORZOMI, GG","12","1,I","4","1,I","0","1,I","","","","","","","19391213",",1,I","","","8.4","1,,I,13,","","","26.8","1,,,I","",""
"GG000037515","1940-01","41.833","43.383","794.0","BORZOMI, GG","15","1,I","10","1,I","0","1,I","","","","","","","19400101",",1,I","","","14.1","1,,I,01,","","","72.0","1,,,I","",""
"GG000037515","1940-02","41.833","43.383","794.0","BORZOMI, GG","11",",I","4",",I","0",",I","","","","","","","19400225",",,I","","","7.8",",,I,25,","","","30.5",",,,I","",""
"GG000037515","1940-03","41.833","43.383","794.0","BORZOMI, GG","8","3,I","7","3,I","0","3,I","","","","","","","19400310",",3,I","","","10.7","3,,I,10,","","","36.5","3,,,I","",""
"GG000037515","1940-04","41.833","43.383","794.0","BORZOMI, GG","6","4,I","4","4,I","0","4,I","","","","","","","19400419",",4,I","","","7.4","4,,I,19,","","","24.9","4,,,I","",""
"GG000037515","1940-06","41.833","43.383","794.0","BORZOMI, GG","17","1,I","9","1,I","1","1,I","","","","","","","19400630",",1,I","","","38.4","1,,I,30,","","","139.3","1,,,I","",""
"GG000037515","1940-07","41.833","43.383","794.0","BORZOMI, GG","10","3,I","6","3,I","0","3,I","","","","","","","19400716",",3,I","","","15.1","3,,I,16,","","","45.3","3,,,I","",""
"GG000037515","1940-08","41.833","43.383","794.0","BORZOMI, GG","4","2,I","1","2,I","0","2,I","","","","","","","19400826",",2,I","","","4.3","2,,I,26,","","","6.1","2,,,I","",""
"GG000037515","1940-09","41.833","43.383","794.0","BORZOMI, GG","6",",I","3",",I","0",",I","","","","","","","19400918",",,I","","","23.4",",,I,18,","","","35.5",",,,I","",""
