"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00295685","1934-05","35.8","-108.83333","1964.1","MEXICAN SPRINGS, NM US","","","","","3","1,6","3","1,6","1","1,6","","","0",",6","","","","","","","","","","","","","","","19340503",",,6","","","19340530",",1,6","","","","","","","0",",T,6,03,","65.8","1,,6,30,","","","","","","","","","80.1","1,,,6","0",",T,,6","","","","","","","",""
"USC00295685","1934-06","35.8","-108.83333","1964.1","MEXICAN SPRINGS, NM US","","","42.0",",6","0",",6","0",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","29",",6","6",",6","19340607",",,6","","","19340630","+,,6","","","19340630","+,,6","19340628",",,6","2.8",",6,07,","","","0",",,6,30,+","0.0",",T,6,30,+","34.4",",6,28,","","","","","36.9",",6","0.0",",T,,6","0",",,,6","18.50",",6","28.60",",,,6","8.40",",,,6","",""
"USC00295685","1934-07","35.8","-108.83333","1964.1","MEXICAN SPRINGS, NM US","","","168.9","4,6","6",",6","2",",6","0",",6","","","0",",6","0","3,6","0","3,6","0","3,6","28","3,6","20","3,6","19340723","+,3,6","","","19340731","+,,6","","","19340718",",,6","19340711",",3,6","11.7","3,6,23,+","","","0",",,6,31,+","8.1",",,6,18,","36.7","3,6,11,","","","0.0","6","0.0","3,6","13.6",",,,6","0",",,,6","24.55","4,6","33.56","3,,,6","15.55","3,,,6","",""
"USC00295685","1934-08","35.8","-108.83333","1964.1","MEXICAN SPRINGS, NM US","","","105.0",",6","17",",6","8",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","30",",6","5",",6","19340824",",,6","","","19340831","+,,6","","","19340821",",,6","19340802",",,6","10.0",",6,24,","","","0",",,6,31,+","18.8",",,6,21,","35.0",",6,02,","","","3.0","6","3.0",",6","90.9",",,,6","0",",,,6","21.62",",6","29.18",",,,6","14.06",",,,6","",""
"USC00295685","1934-09","35.8","-108.83333","1964.1","MEXICAN SPRINGS, NM US","","","13.4","1,6","7",",6","3",",6","0",",6","","","0",",6","0","1,6","1","1,6","0",",6","26",",6","0",",6","19340926",",1,6","","","19340930","+,,6","","","19340916",",,6","19340904",",,6","0.0","1,6,26,","","","0",",,6,30,+","6.1",",,6,16,","30.0",",6,04,","","","62.1","6","59.1",",6","17.6",",,,6","0",",,,6","16.65","1,6","25.08",",,,6","8.22","1,,,6","",""
"USC00295685","1934-10","35.8","-108.83333","1964.1","MEXICAN SPRINGS, NM US","","","0.0","1,6","2",",6","0",",6","0",",6","","","0",",6","0","1,6","8","1,6","0",",6","22",",6","0",",6","19341023",",1,6","","","19341031","+,,6","","","19341012",",,6","19341006",",,6","-3.3","1,6,23,","","","0",",,6,31,+","0.5",",,6,12,","28.9",",6,06,","","","235.7","6","173.6",",6","0.8",",,,6","0",",,,6","12.57","1,6","21.90",",,,6","3.24","1,,,6","",""
"USC00295685","1934-11","35.8","-108.83333","1964.1","MEXICAN SPRINGS, NM US","","","0.0",",6","2",",6","0",",6","0",",6","","","0",",6","0",",6","17",",6","1",",6","3",",6","0",",6","19341127",",,6","","","19341119",",,6","","","19341119",",,6","19341110","+,,6","-10.6",",6,27,","","","18",",,6,19,","2.0",",,6,19,","22.2",",6,10,+","","","636.8","6","401.1",",6","3.3",",,,6","18",",,,6","4.96",",6","12.41",",,,6","-2.48",",,,6","",""
"USC00295685","1934-12","35.8","-108.83333","1964.1","MEXICAN SPRINGS, NM US","","","0.0",",6","6",",6","3",",6","0",",6","","","0",",6","0",",6","31",",6","0",",6","0",",6","0",",6","19341205","+,,6","","","19341215",",,6","","","19341213",",,6","19341226",",,6","-14.4",",6,05,+","","","0",",T,6,15,","3.0",",,6,13,","13.3",",6,26,","","","1209.6","6","572.8",",6","9.6",",,,6","0",",T,,6","-0.14",",6","7.83",",,,6","-8.12",",,,6","",""
"USC00295685","1935-01","35.8","-108.83333","1964.1","MEXICAN SPRINGS, NM US","0.0","6","0.0",",6","6",",6","6",",6","0",",6","","","2",",6","2",",6","28",",6","1",",6","0",",6","0",",6","19350121",",,6","","","19350119",",,6","","","19350106",",,6","19350129",",,6","-19.4",",6,21,","","","51",",,6,19,","10.7",",,6,06,","15.0",",6,29,","","","1766.2","6","556.6",",6","43.3",",,,6","76",",,,6","0.38",",6","7.56",",,,6","-6.81",",,,6","",""
"USC00295685","1935-02","35.8","-108.83333","1964.1","MEXICAN SPRINGS, NM US","0.0","6","0.0",",6","6","2,6","4","2,6","0","2,6","","","5",",6","0",",6","27",",6","1",",6","0",",6","0",",6","19350226","+,,6","","","19350224",",,6","","","19350211",",2,6","19350220",",,6","-14.4",",6,26,+","","","76",",,6,24,","5.6","2,,6,11,","18.3",",6,20,","","","2233.5","6","467.3",",6","19.6","2,,,6","293",",,,6","1.64",",6","9.01",",,,6","-5.72",",,,6","",""
