"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00236038","1972-08","39.59917","-91.41167","146.3","NEW LONDON, MO US","8",",6","7",",6","0",",6","","","","","","","","","19720806",",,6","","","24.1",",,6,06,","67.5",",,,6"
"USC00236038","1972-10","39.59917","-91.41167","146.3","NEW LONDON, MO US","11","1,6","5","1,6","0","1,6","","","","","","","","","19721031",",1,6","","","21.6","1,,6,31,","60.2","1,,,6"
"USC00236038","1972-11","39.59917","-91.41167","146.3","NEW LONDON, MO US","10",",6","7",",6","1",",6","","","","","","","","","19721102",",,6","","","36.8",",,6,02,","100.3",",,,6"
"USC00236038","1972-12","39.59917","-91.41167","146.3","NEW LONDON, MO US","12",",6","5",",6","1",",6","","","","","","","","","19721212",",,6","","","34.3",",,6,12,","58.4",",,,6"
"USC00236038","1973-01","39.59917","-91.41167","146.3","NEW LONDON, MO US","6",",6","5",",6","1",",6","","","","","","","","","19730104",",,6","","","25.9",",,6,04,","69.3",",,,6"
"USC00236038","1973-02","39.59917","-91.41167","146.3","NEW LONDON, MO US","9",",6","5",",6","0",",6","","","","","","","","","19730213",",,6","","","15.5",",,6,13,","43.2",",,,6"
"USC00236038","1973-03","39.59917","-91.41167","146.3","NEW LONDON, MO US","18",",6","13",",6","3",",6","","","","","","","","","19730307",",,6","","","51.3",",,6,07,","234.6",",,,6"
"USC00236038","1973-04","39.59917","-91.41167","146.3","NEW LONDON, MO US","11",",6","7",",6","3",",6","","","","","","","","","19730421",",,6","","","91.4",",,6,21,","180.2",",,,6"
"USC00236038","1973-06","39.59917","-91.41167","146.3","NEW LONDON, MO US","9",",6","8",",6","1",",6","","","","","","","2","","19730619",",,6","","","64.0",",,6,19,","118.7",",,,6"
"USC00236038","1973-07","39.59917","-91.41167","146.3","NEW LONDON, MO US","11",",6","8",",6","1",",6","","","","","","","","","19730724",",,6","","","30.7",",,6,24,","113.0",",,,6"
"USC00236038","1973-09","39.59917","-91.41167","146.3","NEW LONDON, MO US","11",",6","9",",6","0",",6","","","","","","","","","19730922","+,,6","","","22.4",",,6,22,+","106.5",",,,6"
"USC00236038","1973-10","39.59917","-91.41167","146.3","NEW LONDON, MO US","10",",6","8",",6","2",",6","","","","","","","1","","19731013",",,6","","","63.8",",,6,13,","173.1",",,,6"
