"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00003160","1978-06","36.6206","-116.0278","984.5","DESERT ROCK AIRPORT, NV US","","","","","","","","","","","","","234.6",",X","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",X","0",",X","0",",X","30",",X","25",",X","","","","","19780602",",,X","19780630","+,,Z","19780630","+,,Z","","","19780630","+,,Z","19780609","+,,X","11.7",",X,02,","0",",,Z,30,+","0",",,Z,30,+","0.0",",,Z,30,+","38.3",",X,09,+","","","0.0",",X","0.0",",,,Z","","","","","","","0",",,,Z","26.15",",X","34.03",",,,X","18.27",",,,X","","","","","","","","","","","","","","","",""
"USW00003160","1978-07","36.6206","-116.0278","984.5","DESERT ROCK AIRPORT, NV US","","","","","","","","","","","","","330.8",",X","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",X","0",",X","0",",X","31",",X","30",",X","","","","","19780709","+,,X","19780731","+,,Z","19780731","+,,Z","","","19780725","+,,Z","19780731",",,X","15.6",",X,09,+","0",",,Z,31,+","0",",,Z,31,+","0.0",",T,Z,25,+","41.1",",X,31,","0.0","X","0.0",",X","0.0",",T,,Z","","","","","","","0",",,,Z","29.00",",X","37.48",",,,X","20.52",",,,X","","","","","","","","","","","","","","","",""
"USW00003160","1978-08","36.6206","-116.0278","984.5","DESERT ROCK AIRPORT, NV US","","","","","","","","","","","","","308.2",",X","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",X","0",",X","0",",X","31",",X","29",",X","","","","","19780826","+,,X","19780831","+,,Z","19780831","+,,Z","","","19780811","+,,Z","19780808",",,X","13.3",",X,26,+","0",",,Z,31,+","0",",,Z,31,+","0.0",",T,Z,11,+","42.8",",X,08,","0.0","X","0.0",",X","0.0",",T,,Z","","","","","","","0",",,,Z","28.28",",X","36.27",",,,X","20.28",",,,X","","","","","","","","","","","","","","","",""
"USW00003160","1978-09","36.6206","-116.0278","984.5","DESERT ROCK AIRPORT, NV US","","","","","","","","","","","","","137.8",",X","3",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",X","0",",X","0",",X","28",",X","12",",X","","","","","19780918",",,X","19780930","+,,Z","19780930","+,,Z","","","19780905",",,Z","19780902",",,X","7.2",",X,18,","0",",,Z,30,+","0",",,Z,30,+","2.3",",,Z,05,","37.2",",X,02,","13.3","X","13.3",",X","4.3",",,,Z","","","","","","","0",",,,Z","22.48",",X","30.22",",,,X","14.74",",,,X","","","","","","","","","","","","","","","",""
"USW00003160","1978-10","36.6206","-116.0278","984.5","DESERT ROCK AIRPORT, NV US","","","","","","","","","","","","","83.1",",X","3",",X","2",",X","0",",X","0",",Z","0",",Z","0",",X","0",",X","0",",X","30",",X","8",",X","","","","","19781028",",,X","19781031","+,,Z","19781031","+,,Z","","","19781020",",,X","19781004",",,X","6.1",",X,28,","0",",,Z,31,+","0",",,Z,31,+","9.1",",,X,20,","34.4",",X,04,","38.8","X","25.5",",X","14.7",",,,X","","","","","","","0",",,,Z","20.19",",X","28.28",",,,X","12.10",",,,X","","","","","","","","","","","","","","","",""
"USW00003160","1978-11","36.6206","-116.0278","984.5","DESERT ROCK AIRPORT, NV US","","","","","","","","","","","","","0.0",",X","8",",Z","3",",Z","0",",Z","0",",Z","0",",Z","0",",X","7",",X","0",",X","7",",X","0",",X","","","","","19781116",",,X","19781130","+,,Z","19781130","+,,Z","","","19781124",",,Z","19781108","+,,X","-1.7",",X,16,","0",",,Z,30,+","0",",,Z,30,+","15.7",",,Z,24,","24.4",",X,08,+","310.2","X","271.4",",X","40.4",",,,Z","","","","","","","0",",,,Z","9.29",",X","15.63",",,,X","2.94",",,,X","","","","","","","","","","","","","","","",""
"USW00003160","1978-12","36.6206","-116.0278","984.5","DESERT ROCK AIRPORT, NV US","","","","","","","","","","","","","0.0",",X","3",",Z","3",",Z","0",",Z","0",",Z","0",",Z","0",",X","24",",X","0",",X","0",",X","0",",X","","","","","19781208",",,X","19781231","+,,Z","19781205",",,Z","","","19781217",",,Z","19781225","+,,X","-8.3",",X,08,","0",",,Z,31,+","0",",T,Z,05,","12.7",",,Z,17,","15.6",",X,25,+","752.2","X","442.0",",X","22.4",",,,Z","","","","","","","0",",T,,Z","4.08",",X","10.11",",,,X","-1.95",",,,X","","","","","","","","","","","","","","","",""
"USW00003160","1979-01","36.6206","-116.0278","984.5","DESERT ROCK AIRPORT, NV US","","","","","","","","","","","0.0","X","0.0",",X","11",",X","4",",X","0",",X","1",",X","1",",X","0",",X","24",",X","1",",X","0",",X","0",",X","","","","","19790129",",,X","19790131",",,X","19790131",",,X","","","19790115",",,X","19790112",",,X","-10.6",",X,29,","51",",,X,31,","76",",,X,31,","13.2",",,X,15,","13.9",",X,12,","1232.9","X","480.7",",X","40.6",",,,X","","","","","","","104",",,,X","2.83",",X","7.32",",,,X","-1.66",",,,X","","","","","","","","","","","","","","","",""
"USW00003160","1979-02","36.6206","-116.0278","984.5","DESERT ROCK AIRPORT, NV US","","","","","","","","","","","0.0","X","0.0",",X","5",",Z","2",",Z","0",",Z","5",",Z","1",",Z","0",",X","17",",X","0",",X","0",",X","0",",X","","","","","19790204",",,X","19790204","+,,Z","19790201",",,Z","","","19790226",",,Z","19790213",",,X","-9.4",",X,04,","102",",,Z,04,+","28",",,Z,01,","4.3",",,Z,26,","18.3",",X,13,","1578.2","X","345.3",",X","12.2",",,,Z","","","","","","","43",",,,Z","6.00",",X","12.71",",,,X","-0.71",",,,X","","","","","","","","","","","","","","","",""
"USW00003160","1979-03","36.6206","-116.0278","984.5","DESERT ROCK AIRPORT, NV US","","","","","","","","","","","0.0","X","0.0",",X","8",",Z","5",",Z","0",",Z","0",",Z","0",",Z","0",",X","3",",X","0",",X","9",",X","0",",X","","","","","19790302",",,X","19790331","+,,Z","19790331","+,,Z","","","19790322",",,Z","19790308",",,X","-1.7",",X,02,","0",",,Z,31,+","0",",,Z,31,+","9.9",",,Z,22,","25.6",",X,08,","1818.9","X","240.7",",X","36.9",",,,Z","","","","","","","0",",,,Z","10.57",",X","17.10",",,,X","4.03",",,,X","","","","","","","","","","","","","","","",""
"USW00003160","1979-04","36.6206","-116.0278","984.5","DESERT ROCK AIRPORT, NV US","","","","","","","","","","","8.9","X","8.9",",X","1",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",X","0",",X","0",",X","20",",X","0",",X","","","","","19790411",",,X","19790430","+,,Z","19790430","+,,Z","","","19790409",",,Z","19790429","+,,X","1.1",",X,11,","0",",,Z,30,+","0",",,Z,30,+","0.8",",,Z,09,","28.3",",X,29,+","1922.8","X","103.9",",X","0.8",",,,Z","","","","","","","0",",,,Z","15.17",",X","22.65",",,,X","7.69",",,,X","","","","","","","","","","","","","","","",""
