"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00206065","1997-09","43.14583","-84.14556","207.3","OAKLEY 2 E, MI US","","","","","","","0","1,0","0",",0","","","","","","","1","","19970930","+,1,0","19970930","+,,0","","","","","0","1,,0,30,+","0",",,0,30,+","","","","","","","0",",,,0","",""
"USC00206065","1997-10","43.14583","-84.14556","207.3","OAKLEY 2 E, MI US","","","","","","","0","3,0","1",",0","","","","","","","","","19971031","+,3,0","19971027",",,0","","","","","0","3,,0,31,+","102",",,0,27,","","","","","","","102",",,,0","",""
"USC00206065","1997-11","43.14583","-84.14556","207.3","OAKLEY 2 E, MI US","","","","","","","0",",0","0",",0","","","","","","","","","19971130","+,,0","19971130","+,,0","","","","","0",",,0,30,+","0",",,0,30,+","","","","","","","0",",,,0","",""
"USC00206065","1997-12","43.14583","-84.14556","207.3","OAKLEY 2 E, MI US","0","4,0","0","4,0","0","4,0","","","4",",0","","","","","","","","","","","19971223",",,0","19971231","+,4,0","","","","","38",",,0,23,","0.0","4,,0,31,+","","","0.0","4,,,0","113",",,,0","",""
"USC00206065","1998-01","43.14583","-84.14556","207.3","OAKLEY 2 E, MI US","","","","","","","","","10","4,0","","","","","","","","","","","19980125","+,4,0","","","","","","","178","4,,0,25,+","","","","","","","740","4,,,0","",""
"USC00206065","1998-02","43.14583","-84.14556","207.3","OAKLEY 2 E, MI US","1",",0","1",",0","1",",0","","","0",",0","","","","","","","","","","","19980228","+,,0","19980218",",,0","","","","","0",",,0,28,+","76.2",",,0,18,","","","76.2",",,,0","0",",,,0","",""
"USC00206065","1998-04","43.14583","-84.14556","207.3","OAKLEY 2 E, MI US","4",",0","4",",0","0",",0","","","0",",0","","","","","","","","","","","19980430","+,,0","19980401",",,0","","","","","0",",,0,30,+","10.2",",,0,01,","","","24.1",",,,0","0",",,,0","",""
"USC00206065","1998-05","43.14583","-84.14556","207.3","OAKLEY 2 E, MI US","3","1,0","3","1,0","0","1,0","0",",0","0",",0","0","5,0","26","5,0","6","5,0","1","","19980531","+,,0","19980531","+,,0","19980502",",1,0","19980518",",5,0","0",",,0,31,+","0",",,0,31,+","22.9","1,,0,02,","33.3","5,0,18,","45.8","1,,,0","0",",,,0","28.55","5,,,0"
"USC00206065","1998-06","43.14583","-84.14556","207.3","OAKLEY 2 E, MI US","2",",0","2",",0","0",",0","0",",0","0",",0","0","5,0","22","5,0","12","5,0","","","19980630","+,,0","19980630","+,,0","19980612",",,0","19980630",",5,0","0",",,0,30,+","0",",,0,30,+","3.8",",,0,12,","36.1","5,0,30,","6.8",",,,0","0",",,,0","29.18","5,,,0"
"USC00206065","1998-07","43.14583","-84.14556","207.3","OAKLEY 2 E, MI US","1",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","19980731","+,,0","19980731","+,,0","19980715",",,0","","","0",",,0,31,+","0",",,0,31,+","7.6",",,0,15,","","","7.6",",,,0","0",",,,0","",""
