"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00067432","1948-06","41.6445","-72.8167","126.5","SHUTTLE MEADOW RESERVOIR, CT US","18",",0","12",",0","0",",0","0",",0","0",",0","","","","","","","","","19480630","+,,0","19480630","+,,0","","","19480608",",,0","","","0",",,0,30,+","0",",,0,30,+","25.1",",,0,08,","159.5",",,,0","0",",,,0","",""
"USC00067432","1948-07","41.6445","-72.8167","126.5","SHUTTLE MEADOW RESERVOIR, CT US","10",",0","6",",0","0",",0","0",",0","0",",0","","","","","","","","","19480731","+,,0","19480731","+,,0","","","19480707",",,0","","","0",",,0,31,+","0",",,0,31,+","20.1",",,0,07,","71.2",",,,0","0",",,,0","",""
"USC00067432","1948-08","41.6445","-72.8167","126.5","SHUTTLE MEADOW RESERVOIR, CT US","7",",0","6",",0","0",",0","0",",0","0",",0","","","","","","","","","19480831","+,,0","19480831","+,,0","","","19480812",",,0","","","0",",,0,31,+","0",",,0,31,+","22.1",",,0,12,","68.1",",,,0","0",",,,0","",""
"USC00067432","1948-09","41.6445","-72.8167","126.5","SHUTTLE MEADOW RESERVOIR, CT US","2",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","19480930","+,,0","19480930","+,,0","","","19480919",",,0","","","0",",,0,30,+","0",",,0,30,+","4.8",",,0,19,","7.1",",,,0","0",",,,0","",""
"USC00067432","1948-10","41.6445","-72.8167","126.5","SHUTTLE MEADOW RESERVOIR, CT US","11",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","19481031","+,,0","19481031","+,,0","","","19481009",",,0","","","0",",,0,31,+","0",",,0,31,+","18.8",",,0,09,","56.0",",,,0","0",",,,0","",""
"USC00067432","1948-11","41.6445","-72.8167","126.5","SHUTTLE MEADOW RESERVOIR, CT US","15",",0","11",",0","2",",0","0",",0","2",",0","","","","","","","","","19481130","+,,0","19481130",",,0","","","19481111",",,0","","","0",",,0,30,+","51",",,0,30,","52.3",",,0,11,","159.0",",,,0","89",",,,0","",""
"USC00067432","1948-12","41.6445","-72.8167","126.5","SHUTTLE MEADOW RESERVOIR, CT US","10",",0","8",",0","1",",0","","","2",",0","","","","","","","","","","","19481220",",,0","","","19481231",",,0","","","","","203",",,0,20,","78.0",",,0,31,","138.7",",,,0","275",",,,0","",""
"USC00067432","1949-01","41.6445","-72.8167","126.5","SHUTTLE MEADOW RESERVOIR, CT US","12",",0","8",",0","3",",0","","","2",",0","","","","","","","","","","","19490127",",,0","","","19490106",",,0","","","","","152",",,0,27,","49.8",",,0,06,","169.0",",,,0","239",",,,0","",""
"USC00067432","1949-02","41.6445","-72.8167","126.5","SHUTTLE MEADOW RESERVOIR, CT US","12",",0","7",",0","0",",0","","","3",",0","","","","","","","","","","","19490201",",,0","","","19490201",",,0","","","","","147",",,0,01,","19.6",",,0,01,","71.2",",,,0","223",",,,0","",""
"USC00067432","1949-03","41.6445","-72.8167","126.5","SHUTTLE MEADOW RESERVOIR, CT US","","","","","","","","","4","2,0","","","","","","","","","","","19490319",",2,0","","","","","","","","","165","2,,0,19,","","","","","279","2,,,0","",""
