"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00386890","1893-05","33.3","-80.05","26.5","PINOPOLIS, SC US","","","10",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","","","","","18930529",",,6","","","","","","","27.9",",,6,29,","","","","","","","87.4",",,,6","","","","","","","",""
"USC00386890","1893-06","33.3","-80.05","26.5","PINOPOLIS, SC US","181.2",",6","10",",6","9",",6","4",",6","","","0",",6","0",",6","0",",6","30",",6","0",",6","1","","18930610",",,6","","","","","18930615",",,6","18930626","+,,6","18.9",",6,10,","","","73.7",",,6,15,","29.4",",6,26,+","","","0.0",",6","297.9",",,,6","","","24.37",",6","26.40",",,,6","22.34",",,,6"
"USC00386890","1893-07","33.3","-80.05","26.5","PINOPOLIS, SC US","274.9",",6","8",",6","6",",6","2",",6","","","0",",6","0",",6","0",",6","31",",6","5",",6","","","18930701",",,6","","","","","18930710",",,6","18930715",",,6","21.7",",6,01,","","","41.7",",,6,10,","32.8",",6,15,","0.0","","0.0",",6","91.8",",,,6","","","27.20",",6","29.88",",,,6","24.52",",,,6"
"USC00386890","1893-08","33.3","-80.05","26.5","PINOPOLIS, SC US","","","17",",6","13",",6","8",",6","","","","","","","","","","","","","","","","","","","","","18930814",",,6","","","","","","","105.4",",,6,14,","","","","","","","479.7",",,,6","","","","","","","",""
"USC00386890","1893-09","33.3","-80.05","26.5","PINOPOLIS, SC US","","","8",",6","8",",6","1",",6","","","","","","","","","","","","","","","","","","","","","18930913",",,6","","","","","","","35.3",",,6,13,","","","","","","","102.4",",,,6","","","","","","","",""
"USC00386890","1893-10","33.3","-80.05","26.5","PINOPOLIS, SC US","","","4",",6","4",",6","3",",6","","","","","","","","","","","","","","","","","","","","","18931012",",,6","","","","","","","76.2",",,6,12,","","","","","","","179.6",",,,6","","","","","","","",""
"USC00386890","1893-11","33.3","-80.05","26.5","PINOPOLIS, SC US","","","6",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","18931127",",,6","","","","","","","19.8",",,6,27,","","","","","","","41.3",",,,6","","","","","","","",""
"USC00386890","1893-12","33.3","-80.05","26.5","PINOPOLIS, SC US","","","8",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","","","18931216",",,6","","","","","","","33.3",",,6,16,","","","","","","","108.7",",,,6","","","","","","","",""
"USC00386890","1894-01","33.3","-80.05","26.5","PINOPOLIS, SC US","","","10",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","","","18940109",",,6","","","","","","","15.2",",,6,09,","","","","","","","47.5",",,,6","","","","","","","",""
"USC00386890","1894-03","33.3","-80.05","26.5","PINOPOLIS, SC US","","","10",",6","5",",6","2",",6","","","","","","","","","","","","","","","","","","","","","18940317",",,6","","","","","","","33.8",",,6,17,","","","","","","","88.6",",,,6","","","","","","","",""
"USC00386890","1894-04","33.3","-80.05","26.5","PINOPOLIS, SC US","","","6",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","18940410","+,,6","","","","","","","7.1",",,6,10,+","","","","","","","18.0",",,,6","","","","","","","",""
"USC00386890","1894-05","33.3","-80.05","26.5","PINOPOLIS, SC US","","","12",",6","10",",6","0",",6","","","","","","","","","","","","","","","","","","","","","18940518",",,6","","","","","","","17.0",",,6,18,","","","","","","","85.2",",,,6","","","","","","","",""
"USC00386890","1894-06","33.3","-80.05","26.5","PINOPOLIS, SC US","","","9",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","","","18940627",",,6","","","","","","","20.6",",,6,27,","","","","","","","61.5",",,,6","","","","","","","",""
"USC00386890","1894-07","33.3","-80.05","26.5","PINOPOLIS, SC US","","","20",",6","18",",6","3",",6","","","","","","","","","","","","","","","","","","","","","18940717",",,6","","","","","","","46.7",",,6,17,","","","","","","","270.1",",,,6","","","","","","","",""
"USC00386890","1894-08","33.3","-80.05","26.5","PINOPOLIS, SC US","","","15",",6","9",",6","2",",6","","","","","","","","","","","","","","","","","","","","","18940805",",,6","","","","","","","61.2",",,6,05,","","","","","","","231.3",",,,6","","","","","","","",""
"USC00386890","1894-10","33.3","-80.05","26.5","PINOPOLIS, SC US","","","8",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","18941009",",,6","","","","","","","76.2",",,6,09,","","","","","","","104.3",",,,6","","","","","","","",""
"USC00386890","1894-12","33.3","-80.05","26.5","PINOPOLIS, SC US","","","7",",6","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","18941231","+,,6","","","18941226",",,6","","","","","18",",,6,31,+","9.9",",,6,26,","","","","","","","16.6",",,,6","36",",,,6","","","","","",""
"USC00386890","1895-02","33.3","-80.05","26.5","PINOPOLIS, SC US","","","9",",6","8",",6","1",",6","0",",6","","","","","","","","","","","","","","","18950211",",,6","","","18950201",",,6","","","","","5",",,6,11,","25.4",",,6,01,","","","","","","","109.7",",,,6","5",",,,6","","","","","",""
"USC00386890","1895-03","33.3","-80.05","26.5","PINOPOLIS, SC US","","","12",",6","10",",6","1",",6","","","","","","","","","","","","","","","","","","","","","18950315",",,6","","","","","","","29.2",",,6,15,","","","","","","","133.5",",,,6","","","","","","","",""
"USC00386890","1895-04","33.3","-80.05","26.5","PINOPOLIS, SC US","","","12",",6","10",",6","2",",6","","","","","","","","","","","","","","","","","","","","","18950426",",,6","","","","","","","38.9",",,6,26,","","","","","","","154.3",",,,6","","","","","","","",""
"USC00386890","1895-05","33.3","-80.05","26.5","PINOPOLIS, SC US","","","7",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","","","","","18950517",",,6","","","","","","","31.8",",,6,17,","","","","","","","112.8",",,,6","","","","","","","",""
"USC00386890","1895-06","33.3","-80.05","26.5","PINOPOLIS, SC US","","","11",",6","8",",6","0",",6","","","","","","","","","","","","","","","","","","","","","18950610",",,6","","","","","","","12.7",",,6,10,","","","","","","","63.6",",,,6","","","","","","","",""
"USC00386890","1895-08","33.3","-80.05","26.5","PINOPOLIS, SC US","","","17",",6","11",",6","5",",6","","","","","","","","","","","","","","","","","","","","","18950814",",,6","","","","","","","57.7",",,6,14,","","","","","","","294.2",",,,6","","","","","","","",""
