"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00097780","2011-04","-3.917","136.367","1770.0","ENAROTALI, ID","0","1,S","0","1,S","","","","","","","20110420",",1,S","","","13.6","1,S,20,","","","","","14.57","1,,,S"
"IDM00097780","2011-07","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","26","5,S","0","5,S","","","20110729",",5,S","","","26.4","5,S,29,","24.29","5,,,S","",""
"IDM00097780","2013-03","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","26","5,S","0","5,S","","","20130301",",5,S","","","28.0","5,S,01,","24.89","5,,,S","",""
"IDM00097780","2015-04","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","27","2,S","0","2,S","","","20150402",",2,S","","","28.0","2,S,02,","25.24","2,,,S","",""
"IDM00097780","2015-05","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","26","5,S","0","5,S","","","20150516",",5,S","","","28.0","5,S,16,","25.70","5,,,S","",""
"IDM00097780","2015-06","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","25","3,S","0","3,S","","","20150618",",3,S","","","28.8","3,S,18,","24.94","3,,,S","",""
"IDM00097780","2015-09","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","30",",S","0",",S","","","20150919",",,S","","","30.0",",S,19,","25.35",",,,S","",""
"IDM00097780","2015-11","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","30",",S","0",",S","","","20151123",",,S","","","28.2",",S,23,","25.56",",,,S","",""
"IDM00097780","2015-12","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","28","3,S","0","3,S","","","20151228",",3,S","","","30.0","3,S,28,","25.92","3,,,S","",""
"IDM00097780","2016-04","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","26","4,S","0","4,S","","","20160425",",4,S","","","28.0","4,S,25,","25.77","4,,,S","",""
