"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00026468","1931-01","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","0.0","6","0.0",",6","2",",6","1",",6","0",",6","","","1",",6","2",",6","31",",6","1",",6","0",",6","0",",6","","","19310107","+,,6","","","19310102",",,6","","","19310102",",,6","19310131",",,6","-18.9",",6,07,+","","","51",",,6,02,","5.1",",,6,02,","15.0",",6,31,","","","640.0",",6","6.9",",,,6","51",",,,6","-2.31",",6","6.09",",,,6","-10.72",",,,6","",""
"USC00026468","1931-02","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","0.0","6","0.0",",6","11",",6","3",",6","0",",6","","","0",",6","0",",6","24",",6","0",",6","0",",6","0",",6","","","19310224","+,,6","","","19310222",",,6","","","19310215",",,6","19310225","+,,6","-5.0",",6,24,+","","","0",",T,6,22,","7.9",",,6,15,","13.9",",6,25,+","","","383.3",",6","25.0",",,,6","0",",T,,6","4.64",",6","11.25",",,,6","-1.96",",,,6","",""
"USC00026468","1931-03","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","0.0","6","0.0","4,6","2",",6","1",",6","0",",6","","","0",",6","0","1,6","24","1,6","0","3,6","2","3,6","0","3,6","","","19310326","+,1,6","","","19310325","+,,6","","","19310324",",,6","19310322","+,3,6","-10.0","1,6,26,+","","","0",",T,6,25,+","4.1",",,6,24,","22.8","3,6,22,+","","","310.0","3,6","5.6",",,,6","0",",T,,6","6.59","4,6","16.49","3,,,6","-3.30","1,,,6","",""
"USC00026468","1931-04","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","0.0","6","0.0",",6","7",",6","5",",6","0",",6","","","0",",6","0",",6","5",",6","0",",6","16",",6","0",",6","","","19310410","+,,6","","","19310430","+,,6","","","19310429",",,6","19310419",",,6","-2.2",",6,10,+","","","0",",,6,30,+","19.3",",,6,29,","25.6",",6,19,","","","177.0",",6","52.1",",,,6","0",",,,6","12.43",",6","20.50",",,,6","4.36",",,,6","",""
"USC00026468","1931-05","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","5.5","6","5.5","2,6","4",",6","1",",6","0",",6","","","0",",6","0","1,6","0","1,6","0","1,6","28","1,6","0","1,6","","","19310520",",1,6","","","19310531","+,,6","","","19310515",",,6","19310531","+,1,6","1.1","1,6,20,","","","0",",,6,31,+","3.3",",,6,15,","29.4","1,6,31,+","","","70.5","1,6","6.4",",,,6","0",",,,6","16.09","2,6","25.03","1,,,6","7.15","1,,,6","",""
"USC00026468","1931-06","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","94.2","6","88.7",",6","5",",6","3",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","30",",6","7",",6","","","19310609",",,6","","","19310630","+,,6","","","19310630",",,6","19310623",",,6","6.7",",6,09,","","","0",",,6,30,+","3.0",",,6,30,","35.0",",6,23,","","","4.2",",6","9.3",",,,6","0",",,,6","21.15",",6","30.22",",,,6","12.08",",,,6","",""
"USC00026468","1931-07","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","276.7","6","182.5",",6","","","","","","","","","","","0",",6","0",",6","0",",6","31",",6","22",",6","","","19310705",",,6","","","","","","","","","19310723",",,6","9.4",",6,05,","","","","","","","36.7",",6,23,","0.0","6","0.0",",6","","","","","24.22",",6","32.61",",,,6","15.83",",,,6","",""
"USC00026468","1931-08","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","407.7","6","131.0",",6","12",",6","6",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","9",",6","","","19310831",",,6","","","","","","","19310829",",,6","19310828","+,,6","11.1",",6,31,","","","","","19.3",",,6,29,","34.4",",6,28,+","1.6","6","1.6",",6","75.5",",,,6","","","22.51",",6","29.58",",,,6","15.43",",,,6","",""
"USC00026468","1931-09","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","473.4","6","65.7",",6","7",",6","5",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","29",",6","0",",6","","","19310921",",,6","","","19310930","+,,6","","","19310928",",,6","19310911","+,,6","3.9",",6,21,","","","0",",,6,30,+","9.9",",,6,28,","30.6",",6,11,+","9.1","6","7.5",",6","29.4",",,,6","0",",,,6","20.27",",6","27.41",",,,6","13.13",",,,6","",""
"USC00026468","1931-10","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","477.6","6","4.2",",6","4",",6","2",",6","0",",6","","","0",",6","0",",6","4",",6","0",",6","21",",6","0",",6","","","19311031",",,6","","","19311031","+,,6","","","19311001",",,6","19311008","+,,6","-3.3",",6,31,","","","0",",,6,31,+","10.2",",,6,01,","27.2",",6,08,+","162.8","6","153.7",",6","23.2",",,,6","0",",,,6","13.51",",6","21.70",",,,6","5.32",",,,6","",""
