"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087582","1973-10","-34.559","-58.416","5.5","AEROPARQUE JORGE NEWBERY, AR","7","4,S","5","4,S","2","4,S","","","","","","","19731010",",4,S","","","31.0","4,,S,10,","103.5","4,,,S","",""
"ARM00087582","1974-05","-34.559","-58.416","5.5","AEROPARQUE JORGE NEWBERY, AR","8","4,S","2","4,S","0","4,S","","","","","","","19740525",",4,S","","","19.1","4,,S,25,","33.0","4,,,S","",""
"ARM00087582","1974-08","-34.559","-58.416","5.5","AEROPARQUE JORGE NEWBERY, AR","7","5,S","3","5,S","2","5,S","","","","","","","19740802",",5,S","","","80.0","5,,S,02,","124.4","5,,,S","",""
"ARM00087582","1974-09","-34.559","-58.416","5.5","AEROPARQUE JORGE NEWBERY, AR","5","2,S","2","2,S","0","2,S","","","","","","","19740923","+,2,S","","","3.0","2,,S,23,+","8.5","2,,,S","",""
"ARM00087582","1974-11","-34.559","-58.416","5.5","AEROPARQUE JORGE NEWBERY, AR","3","5,S","3","5,S","0","5,S","","","","","","","19741104",",5,S","","","10.9","5,,S,04,","22.1","5,,,S","",""
"ARM00087582","1975-03","-34.559","-58.416","5.5","AEROPARQUE JORGE NEWBERY, AR","","","","","","","0","2,","0","2,S","19750318",",2,S","","","9.0","2,S,18,","","","","","17.17","2,,,S"
"ARM00087582","1976-12","-34.559","-58.416","5.5","AEROPARQUE JORGE NEWBERY, AR","11","1,S","9","1,S","3","1,S","","","","","","","19761214",",1,S","","","42.9","1,,S,14,","187.2","1,,,S","",""
"ARM00087582","1977-01","-34.559","-58.416","5.5","AEROPARQUE JORGE NEWBERY, AR","3","5,S","2","5,S","0","5,S","","","","","","","19770105",",5,S","","","15.0","5,,S,05,","19.6","5,,,S","",""
"ARM00087582","1977-02","-34.559","-58.416","5.5","AEROPARQUE JORGE NEWBERY, AR","12","1,S","10","1,S","5","1,S","","","","","","","19770214",",1,S","","","70.1","1,,S,14,","280.2","1,,,S","",""
"ARM00087582","1977-03","-34.559","-58.416","5.5","AEROPARQUE JORGE NEWBERY, AR","6","5,S","5","5,S","2","5,S","","","","","","","19770307",",5,S","","","31.0","5,,S,07,","71.1","5,,,S","",""
"ARM00087582","1977-04","-34.559","-58.416","5.5","AEROPARQUE JORGE NEWBERY, AR","2","1,S","2","1,S","0","1,S","0","2,","0","2,S","19770410","+,2,S","19770409",",1,S","8.0","2,S,10,+","10.9","1,,S,09,","15.0","1,,,S","14.50","2,,,S"
"ARM00087582","1977-05","-34.559","-58.416","5.5","AEROPARQUE JORGE NEWBERY, AR","8","2,S","7","2,S","1","2,S","","","","","","","19770508",",2,S","","","29.0","2,,S,08,","111.3","2,,,S","",""
