"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"US1NCDP0036","2019-09","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","262.4","3,a,,N"
"US1NCDP0036","2019-11","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","88.8","5,a,,N"
"US1NCDP0036","2020-01","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","59.4","4,a,,N"
"US1NCDP0036","2020-02","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","171.3","1,a,,N"
"US1NCDP0036","2020-05","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","221.1","3,a,,N"
"US1NCDP0036","2020-06","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","88.8","1,a,,N"
"US1NCDP0036","2020-07","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","109.2","2,a,,N"
"US1NCDP0036","2020-10","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","100.9","4,a,,N"
"US1NCDP0036","2021-01","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","142.1","3,a,,N"
"US1NCDP0036","2021-02","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","183.7","5,a,,N"
"US1NCDP0036","2021-03","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","48.0","1,a,,N"
"US1NCDP0036","2021-05","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","32.2","3,a,,N"
"US1NCDP0036","2021-06","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","182.0","2,a,,N"
"US1NCDP0036","2021-07","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","207.4","2,a,,N"
"US1NCDP0036","2021-08","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","169.4","3,a,,N"
"US1NCDP0036","2021-09","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","45.7","2,a,,N"
"US1NCDP0036","2021-10","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","72.8","3,a,,N"
"US1NCDP0036","2021-11","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","30.0","3,a,,N"
"US1NCDP0036","2021-12","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","59.3","3,a,,N"
"US1NCDP0036","2022-04","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","68.1","3,a,,N"
"US1NCDP0036","2022-07","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","253.9","3,a,,N"
"US1NCDP0036","2022-08","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","72.3","2,a,,N"
"US1NCDP0036","2022-09","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","69.3","3,a,,N"
"US1NCDP0036","2022-11","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","42.1","5,a,,N"
"US1NCDP0036","2023-01","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","84.9","5,a,,N"
"US1NCDP0036","2023-03","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","48.3",",a,,N"
"US1NCDP0036","2023-05","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","71.9","2,a,,N"
"US1NCDP0036","2023-08","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","184.9","1,a,,N"
"US1NCDP0036","2023-09","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","105.6","5,a,,N"
"US1NCDP0036","2024-01","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","65.6","1,a,,N"
"US1NCDP0036","2024-03","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","72.0","4,a,,N"
"US1NCDP0036","2024-04","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","31.7","2,a,,N"
"US1NCDP0036","2024-05","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","119.8","1,a,,N"
"US1NCDP0036","2024-06","34.950863","-77.978949","37.2","KENANSVILLE 1.1 SW, NC US","26.4","4,a,,N"
