"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NOE00133050","1919-07","58.6667","7.8","207.0","BYGLANDSFJORD, NO","10",",E","3",",E","0",",E","0",",","","","","","","","19190731","+,,E","19190720",",,E","","","0",",,E,31,+","9.0",",,E,20,","23.3",",,,E","",""
"NOE00133050","1919-08","58.6667","7.8","207.0","BYGLANDSFJORD, NO","6",",E","4",",E","0",",E","0",",","0",",","0",",E","19190827",",,E","19190831","+,,E","19190826",",,E","3.2",",E,27,","0",",,E,31,+","21.7",",,E,26,","48.6",",,,E","7.85",",,,E"
"NOE00133050","1919-09","58.6667","7.8","207.0","BYGLANDSFJORD, NO","8",",E","6",",E","0",",E","0",",","0",",","1",",E","19190929",",,E","19190930","+,,E","19190901",",,E","-2.0",",E,29,","0",",,E,30,+","16.2",",,E,01,","54.9",",,,E","5.71",",,,E"
"NOE00133050","1919-10","58.6667","7.8","207.0","BYGLANDSFJORD, NO","6",",E","4",",E","0",",E","0",",","0",",","7",",E","19191024","+,,E","19191028",",,E","19191019",",,E","-2.4",",E,24,+","10",",,E,28,","4.5",",,E,19,","17.8",",,,E","1.72",",,,E"
"NOE00133050","1919-11","58.6667","7.8","207.0","BYGLANDSFJORD, NO","14",",E","11",",E","0",",E","12",",","0",",","30",",E","19191116",",,E","19191130","+,,E","19191124",",,E","-14.0",",E,16,","50",",,E,30,+","18.1",",,E,24,","121.3",",,,E","-5.43",",,,E"
"NOE00133050","1919-12","58.6667","7.8","207.0","BYGLANDSFJORD, NO","13",",E","7",",E","0",",E","31",",","1",",","31",",E","19191225",",,E","19191231",",,E","19191202",",,E","-19.0",",E,25,","300",",,E,31,","22.0",",,E,02,","65.4",",,,E","-6.25",",,,E"
"NOE00133050","1920-01","58.6667","7.8","207.0","BYGLANDSFJORD, NO","14",",E","10",",E","1",",E","31",",","2",",","29",",E","19200106",",,E","19200131",",,E","19200107",",,E","-20.0",",E,06,","1150",",,E,31,","39.0",",,E,07,","150.7",",,,E","-8.31",",,,E"
"NOE00133050","1920-02","58.6667","7.8","207.0","BYGLANDSFJORD, NO","9",",E","6",",E","0",",E","29",",","0",",","25",",E","19200215",",,E","19200201",",,E","19200213",",,E","-10.0",",E,15,","1250",",,E,01,","16.3",",,E,13,","60.7",",,,E","-3.48",",,,E"
"NOE00133050","1920-03","58.6667","7.8","207.0","BYGLANDSFJORD, NO","14",",E","11",",E","0",",E","27",",","0",",","15",",E","19200309","+,,E","19200316",",,E","19200306",",,E","-6.0",",E,09,+","520",",,E,16,","19.0",",,E,06,","102.5",",,,E","-0.31",",,,E"
"NOE00133050","1920-04","58.6667","7.8","207.0","BYGLANDSFJORD, NO","13",",E","11",",E","1",",E","1",",","0",",","6",",E","19200411",",,E","19200421",",,E","19200415",",,E","-2.8",",E,11,","30",",,E,21,","35.0",",,E,15,","133.8",",,,E","1.04",",,,E"
