"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES"
"NLE00109283","1956-01","52.6831","6.9","13.0","SCHOONEBEEK, NL","6",",","19560128","+,,E","150",",,E,28,+"
"NLE00109283","1956-02","52.6831","6.9","13.0","SCHOONEBEEK, NL","15",",","19560227","+,,E","80",",,E,27,+"
"NLE00109283","1956-03","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19560316",",,E","20",",,E,16,"
"NLE00109283","1956-04","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19560430","+,,E","0",",,E,30,+"
"NLE00109283","1956-05","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19560531","+,,E","0",",,E,31,+"
"NLE00109283","1956-06","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19560630","+,,E","0",",,E,30,+"
"NLE00109283","1956-07","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19560731","+,,E","0",",,E,31,+"
"NLE00109283","1956-08","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19560831","+,,E","0",",,E,31,+"
"NLE00109283","1956-09","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19560930","+,,E","0",",,E,30,+"
"NLE00109283","1956-10","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19561031","+,,E","0",",,E,31,+"
"NLE00109283","1956-11","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19561130","+,,E","0",",,E,30,+"
"NLE00109283","1956-12","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19561231","+,,E","0",",,E,31,+"
"NLE00109283","1957-01","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19570131","+,,E","0",",,E,31,+"
"NLE00109283","1957-02","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19570224","+,,E","20",",,E,24,+"
"NLE00109283","1957-03","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19570331","+,,E","0",",,E,31,+"
"NLE00109283","1957-04","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19570430","+,,E","0",",,E,30,+"
"NLE00109283","1957-05","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19570531","+,,E","0",",,E,31,+"
"NLE00109283","1957-06","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19570630","+,,E","0",",,E,30,+"
"NLE00109283","1957-07","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19570731","+,,E","0",",,E,31,+"
"NLE00109283","1957-08","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19570831","+,,E","0",",,E,31,+"
"NLE00109283","1957-09","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19570930","+,,E","0",",,E,30,+"
"NLE00109283","1957-10","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19571031","+,,E","0",",,E,31,+"
"NLE00109283","1957-11","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19571130","+,,E","0",",,E,30,+"
"NLE00109283","1957-12","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19571215",",,E","20",",,E,15,"
"NLE00109283","1958-01","52.6831","6.9","13.0","SCHOONEBEEK, NL","6",",","19580126","+,,E","80",",,E,26,+"
"NLE00109283","1958-02","52.6831","6.9","13.0","SCHOONEBEEK, NL","2","3,","19580207",",3,E","80","3,,E,07,"
"NLE00109283","1958-03","52.6831","6.9","13.0","SCHOONEBEEK, NL","0","1,","19580302",",1,E","20","1,,E,02,"
"NLE00109283","1958-04","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19580410",",,E","10",",,E,10,"
"NLE00109283","1958-05","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19580531","+,,E","0",",,E,31,+"
"NLE00109283","1958-06","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19580630","+,,E","0",",,E,30,+"
"NLE00109283","1958-07","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19580731","+,,E","0",",,E,31,+"
"NLE00109283","1958-08","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19580831","+,,E","0",",,E,31,+"
"NLE00109283","1958-09","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19580930","+,,E","0",",,E,30,+"
"NLE00109283","1958-10","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19581031","+,,E","0",",,E,31,+"
"NLE00109283","1958-11","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19581130","+,,E","0",",,E,30,+"
"NLE00109283","1958-12","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19581231","+,,E","0",",,E,31,+"
"NLE00109283","1959-01","52.6831","6.9","13.0","SCHOONEBEEK, NL","12",",","19590112",",,E","230",",,E,12,"
"NLE00109283","1959-02","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19590228","+,,E","0",",,E,28,+"
"NLE00109283","1959-03","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19590331","+,,E","0",",,E,31,+"
"NLE00109283","1959-04","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19590430","+,,E","0",",,E,30,+"
"NLE00109283","1959-05","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19590531","+,,E","0",",,E,31,+"
"NLE00109283","1959-06","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19590630","+,,E","0",",,E,30,+"
"NLE00109283","1959-07","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19590731","+,,E","0",",,E,31,+"
"NLE00109283","1959-08","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19590831","+,,E","0",",,E,31,+"
"NLE00109283","1959-09","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19590930","+,,E","0",",,E,30,+"
"NLE00109283","1959-10","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19591031","+,,E","0",",,E,31,+"
"NLE00109283","1959-11","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19591130","+,,E","0",",,E,30,+"
"NLE00109283","1959-12","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19591212","+,,E","20",",,E,12,+"
"NLE00109283","1960-01","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19600118","+,,E","20",",,E,18,+"
"NLE00109283","1960-02","52.6831","6.9","13.0","SCHOONEBEEK, NL","0","1,","19600202","+,1,E","20","1,,E,02,+"
"NLE00109283","1960-03","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19600331","+,,E","0",",,E,31,+"
"NLE00109283","1960-04","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19600430","+,,E","0",",,E,30,+"
"NLE00109283","1960-05","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19600531","+,,E","0",",,E,31,+"
"NLE00109283","1960-06","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19600630","+,,E","0",",,E,30,+"
"NLE00109283","1960-07","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19600731","+,,E","0",",,E,31,+"
"NLE00109283","1960-08","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19600831","+,,E","0",",,E,31,+"
"NLE00109283","1960-09","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19600930","+,,E","0",",,E,30,+"
"NLE00109283","1960-10","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19601031","+,,E","0",",,E,31,+"
"NLE00109283","1960-11","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19601130","+,,E","0",",,E,30,+"
"NLE00109283","1960-12","52.6831","6.9","13.0","SCHOONEBEEK, NL","1",",","19601215",",,E","80",",,E,15,"
"NLE00109283","1961-01","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19610131","+,,E","0",",,E,31,+"
"NLE00109283","1961-02","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19610205",",,E","20",",,E,05,"
"NLE00109283","1961-03","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19610331","+,,E","0",",,E,31,+"
"NLE00109283","1961-04","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19610430","+,,E","0",",,E,30,+"
"NLE00109283","1961-05","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19610531","+,,E","0",",,E,31,+"
"NLE00109283","1961-06","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19610630","+,,E","0",",,E,30,+"
"NLE00109283","1961-07","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19610731","+,,E","0",",,E,31,+"
"NLE00109283","1961-08","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19610831","+,,E","0",",,E,31,+"
"NLE00109283","1961-09","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19610930","+,,E","0",",,E,30,+"
"NLE00109283","1961-10","52.6831","6.9","13.0","SCHOONEBEEK, NL","0",",","19611031","+,,E","0",",,E,31,+"
