"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00116700","1893-01","40.7","-89.6","158.2","PEORIA 1, IL US","0.0","6","0.0","5,6","","","","","","","","","10","3,6","28","3,6","23","2,6","0","2,6","0","2,6","","","18930117",",3,6","","","","","18930128",",2,6","-25.6","3,6,17,","","","","","10.0","2,6,28,","","","735.4","2,6","","","","","-9.54","5,6","-4.86","2,,,6","-14.23","3,,,6"
"USC00116700","1893-02","40.7","-89.6","158.2","PEORIA 1, IL US","0.0","6","0.0","4,6","","","","","","","3",",6","5","2,6","25","2,6","9","2,6","0","2,6","0","2,6","","","18930204",",2,6","18930217",",,6","","","18930227",",2,6","-23.3","2,6,04,","152",",,6,17,","","","8.3","2,6,27,","","","526.4","2,6","","","419",",,,6","-3.77","4,6","0.85","2,,,6","-8.38","2,,,6"
"USC00116700","1893-03","40.7","-89.6","158.2","PEORIA 1, IL US","0.0","6","0.0",",6","6",",6","4",",6","1",",6","0",",6","0",",6","19",",6","5",",6","1",",6","0",",6","","","18930304",",,6","18930319",",,6","18930308",",,6","18930331",",,6","-13.3",",6,04,","5",",,6,19,","48.3",",,6,08,","25.0",",6,31,","","","463.9",",6","76.6",",,,6","5",",,,6","3.37",",6","7.73",",,,6","-0.99",",,,6"
"USC00116700","1893-04","40.7","-89.6","158.2","PEORIA 1, IL US","6.4","6","6.4",",6","12",",6","9",",6","5",",6","","","0",",6","3",",6","0",",6","5",",6","0",",6","","","18930415",",,6","","","18930411",",,6","18930407",",,6","-1.1",",6,15,","","","37.1",",,6,11,","31.1",",6,07,","","","234.9",",6","199.7",",,,6","","","10.72",",6","15.25",",,,6","6.18",",,,6"
"USC00116700","1893-05","40.7","-89.6","158.2","PEORIA 1, IL US","36.2","6","29.8",",6","","","","","","","","","0",",6","0",",6","0",",6","14",",6","0",",6","","","18930506",",,6","","","","","18930520",",,6","4.4",",6,06,","","","","","31.7",",6,20,","","","95.6",",6","","","","","16.21",",6","21.11",",,,6","11.31",",,,6"
"USC00116700","1893-06","40.7","-89.6","158.2","PEORIA 1, IL US","211.6","6","175.4",",6","9",",6","9",",6","0",",6","","","0",",6","0",",6","0",",6","30",",6","6",",6","","","18930607",",,6","","","18930610",",,6","18930619","+,,6","12.8",",6,07,","","","9.1",",,6,10,","35.0",",6,19,+","","","0.0",",6","46.2",",,,6","","","24.18",",6","29.23",",,,6","19.13",",,,6"
"USC00116700","1893-07","40.7","-89.6","158.2","PEORIA 1, IL US","492.7","6","281.1",",6","5",",6","3",",6","1",",6","","","0",",6","0",",6","0",",6","31",",6","21",",6","","","18930704",",,6","","","18930725",",,6","18930723",",,6","16.7",",6,04,","","","53.8",",,6,25,","37.8",",6,23,","0.0","6","0.0",",6","62.9",",,,6","","","27.40",",6","33.39",",,,6","21.42",",,,6"
"USC00116700","1893-08","40.7","-89.6","158.2","PEORIA 1, IL US","657.0","6","164.3",",6","3",",6","2",",6","0",",6","","","0",",6","0",",6","0",",6","31",",6","11",",6","","","18930831",",,6","","","18930811",",,6","18930810",",,6","10.0",",6,31,","","","6.4",",,6,11,","37.2",",6,10,","0.0","6","0.0",",6","11.3",",,,6","","","23.63",",6","30.76",",,,6","16.50",",,,6"
"USC00116700","1893-09","40.7","-89.6","158.2","PEORIA 1, IL US","762.6","6","105.6",",6","5",",6","4",",6","1",",6","","","0",",6","0",",6","0",",6","25",",6","7",",6","","","18930926",",,6","","","18930929",",,6","18930914",",,6","4.4",",6,26,","","","26.9",",,6,29,","36.7",",6,14,","43.1","6","43.1",",6","76.7",",,,6","","","20.42",",6","26.61",",,,6","14.22",",,,6"
"USC00116700","1893-10","40.7","-89.6","158.2","PEORIA 1, IL US","785.9","6","23.3",",6","5",",6","2",",6","0",",6","","","0",",6","4",",6","0",",6","14",",6","0",",6","","","18931030",",,6","","","18931005",",,6","18931009",",,6","-5.0",",6,30,","","","14.0",",,6,05,","30.0",",6,09,","224.3","6","181.2",",6","17.8",",,,6","","","13.24",",6","19.42",",,,6","7.06",",,,6"
"USC00116700","1893-11","40.7","-89.6","158.2","PEORIA 1, IL US","785.9","6","0.0",",6","5",",6","4",",6","0",",6","","","0",",Z","18",",6","4",",Z","1",",Z","0",",Z","","","18931124",",,6","","","18931121",",,6","18931101",",,Z","-13.9",",6,24,","","","16.5",",,6,21,","23.9",",Z,01,","660.1","6","435.8",",Z","56.1",",,,6","","","3.81",",6","9.10",",,,Z","-1.49",",,,6"
