"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00202487","1919-07","43.4","-85.03333",,"EDMORE, MI US","7",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","19190712",",,6","","","","","","","12.7",",,6,12,","","","39.2",",,,6","","","",""
"USC00202487","1919-08","43.4","-85.03333",,"EDMORE, MI US","8",",6","8",",6","1",",6","","","","","","","","","","","","","","","","","","","19190818",",,6","","","","","","","28.4",",,6,18,","","","74.5",",,,6","","","",""
"USC00202487","1919-09","43.4","-85.03333",,"EDMORE, MI US","6",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","19190921",",,6","","","","","","","22.9",",,6,21,","","","89.3",",,,6","","","",""
"USC00202487","1919-10","43.4","-85.03333",,"EDMORE, MI US","13",",6","11",",6","1",",6","","","","","","","","","","","","","","","","","","","19191031",",,6","","","","","","","31.8",",,6,31,","","","102.8",",,,6","","","",""
"USC00202487","1920-05","43.4","-85.03333",,"EDMORE, MI US","5",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","19200511",",,6","","","","","","","27.9",",,6,11,","","","58.6",",,,6","","","",""
"USC00202487","1920-08","43.4","-85.03333",,"EDMORE, MI US","5",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","19200811",",,6","","","","","","","27.9",",,6,11,","","","55.3",",,,6","","","",""
"USC00202487","1920-09","43.4","-85.03333",,"EDMORE, MI US","6",",6","4",",6","2",",6","","","","","","","","","","","1","","","","","","","","19200909",",,6","","","","","","","43.2",",,6,09,","","","87.4",",,,6","","","",""
"USC00202487","1920-10","43.4","-85.03333",,"EDMORE, MI US","3",",6","3",",6","0",",6","","","0",",6","","","","","","","","","","","19201031","+,,6","","","19201031",",,6","","","","","0",",,6,31,+","24.1",",,6,31,","","","31.7",",,,6","0",",,,6","",""
"USC00202487","1921-04","43.4","-85.03333",,"EDMORE, MI US","14",",6","12",",6","1",",6","","","","","","","","","","","","","","","","","","","19210422",",,6","","","","","","","25.4",",,6,22,","","","156.2",",,,6","","","",""
"USC00202487","1921-05","43.4","-85.03333",,"EDMORE, MI US","2",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","19210528",",,6","","","","","","","6.4",",,6,28,","","","7.7",",,,6","","","",""
