"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00315965","1897-04","36.366667","-81.1","594.4","MOXLEY, NC US","","","4.1",",6","10",",6","8",",6","1",",6","","","0",",6","5",",6","0",",6","14",",6","0",",6","18970421",",,6","","","","","18970404",",,6","18970429","+,,6","-3.3",",6,21,","","","41.7",",,6,04,","30.6",",6,29,+","","","163.5",",6","106.9",",,,6","","","13.02",",6","21.21",",,,6","4.83",",,,6"
"USC00315965","1897-05","36.366667","-81.1","594.4","MOXLEY, NC US","","","15.3",",6","11",",6","5",",6","1",",6","","","0",",6","0",",6","0",",6","27",",6","0",",6","18970527",",,6","","","","","18970513",",,6","18970507",",,6","3.3",",6,27,","","","39.1",",,6,13,","30.6",",6,07,","","","72.4",",6","84.0",",,,6","","","16.49",",6","24.08",",,,6","8.90",",,,6"
"USC00315965","1897-06","36.366667","-81.1","594.4","MOXLEY, NC US","","","137.6",",6","12",",6","10",",6","2",",6","","","0",",6","0",",6","0",",6","29",",6","10",",6","18970622","+,,6","","","","","18970619",",,6","18970630",",,6","8.9",",6,22,+","","","36.6",",,6,19,","35.0",",6,30,","","","1.9",",6","160.5",",,,6","","","22.86",",6","29.72",",,,6","15.99",",,,6"
"USC00315965","1897-07","36.366667","-81.1","594.4","MOXLEY, NC US","","","176.0",",6","11",",6","8",",6","1",",6","","","0",",6","0",",6","0",",6","31",",6","10",",6","18970715",",,6","","","","","18970720",",,6","18970703",",,6","10.6",",6,15,","","","31.8",",,6,20,","37.2",",6,03,","0.0","6","0.0",",6","99.9",",,,6","","","24.01",",6","30.46",",,,6","17.56",",,,6"
"USC00315965","1897-08","36.366667","-81.1","594.4","MOXLEY, NC US","","","127.1",",6","12",",6","7",",6","1",",6","","","0",",6","0",",6","0",",6","31",",6","7",",6","18970825",",,6","","","","","18970806",",,6","18970828","+,,6","10.6",",6,25,","","","26.9",",,6,06,","33.9",",6,28,+","0.0","6","0.0",",6","95.5",",,,6","","","22.43",",6","29.19",",,,6","15.68",",,,6"
"USC00315965","1897-09","36.366667","-81.1","594.4","MOXLEY, NC US","","","90.8",",6","4",",6","3",",6","0",",6","","","0",",6","0",",6","0",",6","28",",6","12",",6","18970929",",,6","","","","","18970923",",,6","18970914","+,,6","0.6",",6,29,","","","18.5",",,6,23,","36.7",",6,14,+","28.6","6","28.6",",6","30.0",",,,6","","","20.40",",6","30.22",",,,6","10.59",",,,6"
"USC00315965","1897-10","36.366667","-81.1","594.4","MOXLEY, NC US","","","19.7",",6","7",",6","5",",6","3",",6","","","0",",6","3",",6","0",",6","21",",6","3",",6","18971005","+,,6","","","","","18971012",",,6","18971002",",,6","-0.6",",6,05,+","","","56.9",",,6,12,","33.3",",6,02,","111.7","6","83.1",",6","165.6",",,,6","","","16.29",",6","24.39",",,,6","8.19",",,,6"
"USC00315965","1897-11","36.366667","-81.1","594.4","MOXLEY, NC US","","","0.0",",6","6",",6","5",",6","1",",6","","","0",",6","14",",6","0",",6","6",",6","0",",6","18971124",",,6","","","","","18971101",",,6","18971121",",,6","-8.9",",6,24,","","","26.7",",,6,01,","26.7",",6,21,","393.4","6","281.7",",6","71.7",",,,6","","","8.94",",6","17.01",",,,6","0.87",",,,6"
"USC00315965","1897-12","36.366667","-81.1","594.4","MOXLEY, NC US","","","0.0",",6","10","3,6","9","3,6","0","3,6","0",",6","0",",6","18",",6","0",",6","1",",6","0",",6","18971225",",,6","18971231","+,,6","","","18971226",",3,6","18971211",",,6","-10.0",",6,25,","0",",T,6,31,+","21.3","3,,6,26,","21.1",",6,11,","796.9","6","403.5",",6","82.7","3,,,6","0",",T,,6","5.32",",6","11.18",",,,6","-0.55",",,,6"
"USC00315965","1898-01","36.366667","-81.1","594.4","MOXLEY, NC US","0.0","6","0.0",",6","10","2,6","5","2,6","0","2,6","0",",6","0",",6","20",",6","0",",6","2",",6","0",",6","18980103",",,6","18980130",",,6","","","18980125",",2,6","18980112",",,6","-11.7",",6,03,","13",",,6,30,","24.1","2,,6,25,","22.8",",6,12,","1207.5","6","410.6",",6","76.9","2,,,6","13",",,,6","5.09",",6","11.36",",,,6","-1.19",",,,6"
