,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
0,NZ000093292,2021-01,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,10.0,",S",3.0,",S",0.0,",S",0.0,",S",0.0,",S",,,,,,,20210130.0,"+,,S",20210108.0,",,S",,,9.1,",S,30,+",22.1,",,S,08,",,,,,,,47.6,",,,S",,,,,12.73,",,,S"
1,NZ000093292,2021-02,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,4.0,"5,S",2.0,"5,S",2.0,"5,S",0.0,"3,S",0.0,"3,S",,,,,,,20210204.0,"+,3,S",20210216.0,",5,S",,,8.1,"3,S,04,+",39.1,"5,,S,16,",,,,,,,67.6,"5,,,S",,,,,11.77,"3,,,S"
2,NZ000093292,2021-03,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,6.1,"3,S",,,,,,,0.0,",S",0.0,",S",0.0,"3,S",15.0,"3,S",0.0,"3,S",20210327.0,"+,,S",,,20210306.0,",3,S",7.6,",S,27,+",,,26.9,"3,S,06,",,,50.6,"3,S",,,16.78,"3,S",22.03,"3,,,S",11.53,",,,S"
3,NZ000093292,2021-04,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,,,,,,,,,,,0.0,"5,S",15.0,"5,S",0.0,"5,S",,,,,20210411.0,",5,S",,,,,27.6,"5,S,11,",,,,,,,,,22.32,"5,,,S",,
4,NZ000093292,2021-05,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,11.0,"3,S",5.0,"3,S",1.0,"3,S",,,,,,,,,,,,,20210513.0,",3,S",,,,,40.9,"3,,S,13,",,,,,,,89.1,"3,,,S",,,,,,
5,NZ000093292,2021-06,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,16.0,",S",6.0,",S",1.0,",S",,,,,0.0,"5,S",0.0,"5,S",0.0,"5,S",,,20210620.0,",,S",20210614.0,",5,S",,,41.9,",,S,20,",20.4,"5,S,14,",,,,,102.0,",,,S",,,16.56,"5,,,S",,
6,NZ000093292,2021-07,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,12.0,"4,S",7.0,"4,S",0.0,"4,S",,,,,0.0,"5,S",0.0,"5,S",0.0,"5,S",,,20210714.0,",4,S",20210717.0,",5,S",,,12.2,"4,,S,14,",19.8,"5,S,17,",,,,,51.1,"4,,,S",,,15.09,"5,,,S",,
7,NZ000093292,2021-08,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,16.0,",S",7.0,",S",0.0,",S",,,,,0.0,"5,S",0.0,"5,S",0.0,"5,S",,,20210830.0,"+,,S",20210828.0,",5,S",,,13.2,",,S,30,+",20.8,"5,S,28,",,,,,75.5,",,,S",,,15.75,"5,,,S",,
8,NZ000093292,2021-09,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,17.0,",S",11.0,",S",1.0,",S",,,,,,,,,,,,,20210917.0,",,S",,,,,27.4,",,S,17,",,,,,,,99.4,",,,S",,,,,,
9,NZ000093292,2021-10,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,11.0,",S",6.0,",S",0.0,",S",0.0,",S",0.0,",S",,,,,,,20211015.0,"+,,S",20211017.0,",,S",,,3.8,",S,15,+",15.0,",,S,17,",,,,,,,46.6,",,,S",,,,,8.34,",,,S"
10,NZ000093292,2021-11,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,11.0,",S",8.0,",S",3.0,",S",0.0,",S",0.0,",S",,,,,,,20211102.0,"+,,S",20211103.0,",,S",,,7.5,",S,02,+",112.5,",,S,03,",,,,,,,288.5,",,,S",,,,,12.35,",,,S"
11,NZ000093292,2021-12,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,9.0,",S",5.0,",S",1.0,",S",0.0,",S",0.0,",S",,,,,,,20211219.0,"+,,S",20211212.0,",,S",,,10.6,",S,19,+",34.8,",,S,12,",,,,,,,92.2,",,,S",,,,,14.68,",,,S"
12,NZ000093292,2022-01,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,8.0,",S",4.0,",S",0.0,",S",0.0,",S",0.0,",S",,,,,,,20220129.0,"+,,S",20220120.0,",,S",,,8.1,",S,29,+",19.8,",,S,20,",,,,,,,46.5,",,,S",,,,,12.9,",,,S"
13,NZ000093292,2022-02,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,10.0,",S",7.0,",S",2.0,",S",0.0,",S",0.0,",S",,,,,,,20220216.0,"+,,S",20220206.0,",,S",,,9.5,",S,16,+",70.4,",,S,06,",,,,,,,144.2,",,,S",,,,,14.1,",,,S"
14,NZ000093292,2022-03,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,20.0,",S",10.0,",S",5.0,",S",0.0,",S",0.0,",S",,,,,,,20220304.0,"+,,S",20220323.0,",,S",,,7.6,",S,04,+",109.2,",,S,23,",,,,,,,308.2,",,,S",,,,,12.11,",,,S"
15,NZ000093292,2022-04,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,13.0,",S",5.0,",S",2.0,",S",,,,,,,,,,,,,20220414.0,",,S",,,,,42.9,",,S,14,",,,,,,,96.4,",,,S",,,,,,
16,NZ000093292,2022-05,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,10.0,"1,S",5.0,"1,S",0.0,"1,S",,,,,0.0,"5,S",4.0,"5,S",0.0,"5,S",,,20220531.0,",1,S",20220517.0,",5,S",,,20.1,"1,,S,31,",23.7,"5,S,17,",,,,,63.5,"1,,,S",,,18.67,"5,,,S",,
17,NZ000093292,2022-06,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,16.0,",S",10.0,",S",1.0,",S",,,,,0.0,"4,S",1.0,"4,S",0.0,"4,S",,,20220619.0,",,S",20220601.0,",4,S",,,30.7,",,S,19,",21.4,"4,S,01,",,,,,97.5,",,,S",,,16.52,"4,,,S",,
18,NZ000093292,2022-07,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,15.0,",S",9.0,",S",1.0,",S",,,,,0.0,"4,S",0.0,"4,S",0.0,"4,S",,,20220715.0,",,S",20220708.0,",4,S",,,33.3,",,S,15,",20.9,"4,S,08,",,,,,93.6,",,,S",,,16.24,"4,,,S",,
19,NZ000093292,2022-08,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,12.0,",S",8.0,",S",1.0,",S",,,,,0.0,"5,S",2.0,"5,S",0.0,"5,S",,,20220812.0,",,S",20220820.0,",5,S",,,25.4,",,S,12,",22.6,"5,S,20,",,,,,70.8,",,,S",,,16.65,"5,,,S",,
20,NZ000093292,2022-09,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,16.0,",S",8.0,",S",3.0,",S",,,,,,,,,,,,,20220923.0,",,S",,,,,52.3,",,S,23,",,,,,,,213.7,",,,S",,,,,,
21,NZ000093292,2022-10,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,14.0,",S",8.0,",S",0.0,",S",0.0,"4,S",0.0,"4,S",,,,,,,20221023.0,"+,4,S",20221012.0,",,S",,,2.8,"4,S,23,+",12.2,",,S,12,",,,,,,,59.2,",,,S",,,,,8.26,"4,,,S"
22,NZ000093292,2022-11,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,15.0,",S",9.0,",S",0.0,",S",0.0,"1,S",0.0,"1,S",,,,,,,20221108.0,"+,1,S",20221111.0,",,S",,,5.9,"1,S,08,+",22.1,",,S,11,",,,,,,,76.1,",,,S",,,,,11.44,"1,,,S"
23,NZ000093292,2022-12,-38.65,177.983,5.0,"GISBORNE AERODROME, NZ",,,,,17.0,",S",10.0,",S",0.0,",S",0.0,"1,S",0.0,"1,S",,,,,,,20221204.0,"+,1,S",20221214.0,",,S",,,8.1,"1,S,04,+",15.0,",,S,14,",,,,,,,91.5,",,,S",,,,,13.4,"1,,,S"
