,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES
0,PE000084377,2021-01,-3.783,-73.3,126.0,"IQUITOS, PE",23.0,"4,S",17.0,"4,S",6.0,"4,S",,,,,,,,,,,,,20210123.0,",4,S",,,,,174.0,"4,,S,23,",,,463.3,"4,,,S",,,,,,,,,,,,,,
1,PE000084377,2021-10,-3.783,-73.3,126.0,"IQUITOS, PE",,,,,,,0.0,"4,S",0.0,"4,S",,,,,,,20211016.0,",4,S",,,,,21.8,"4,S,16,",,,,,,,,,,,23.03,"4,,,S",,,,,,,,
2,PE000084377,2021-12,-3.783,-73.3,126.0,"IQUITOS, PE",,,,,,,0.0,"5,",0.0,"5,S",,,,,,,20211205.0,",5,S",,,,,22.3,"5,S,05,",,,,,,,,,,,23.62,"5,,,S",,,,,,,,
3,PE000084455,2021-09,-6.5,-76.367,282.0,"TARAPOTO, PE",,,,,,,0.0,"4,S",0.0,"4,S",,,,,,,20210901.0,",4,S",,,,,18.8,"4,S,01,",,,,,,,,,,,20.95,"4,,,S",,,,,,,,
4,PE000084455,2021-10,-6.5,-76.367,282.0,"TARAPOTO, PE",,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20211027.0,",5,S",,,,,20.4,"5,S,27,",,,,,,,,,,,22.33,"5,,,S",,,,,,,,
5,PE000084455,2021-11,-6.5,-76.367,282.0,"TARAPOTO, PE",,,,,,,0.0,"1,",0.0,"1,S",,,,,,,20211112.0,",1,S",,,,,19.8,"1,S,12,",,,,,,,,,,,22.0,"1,,,S",,,,,,,,
6,PE000084455,2021-12,-6.5,-76.367,282.0,"TARAPOTO, PE",,,,,,,0.0,"1,",0.0,"1,S",,,,,,,20211217.0,",1,S",,,,,20.0,"1,S,17,",,,,,,,,,,,22.36,"1,,,S",,,,,,,,
7,PE000084455,2022-01,-6.5,-76.367,282.0,"TARAPOTO, PE",,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20220107.0,",5,S",,,,,20.5,"5,S,07,",,,,,,,,,,,21.92,"5,,,S",,,,,,,,
8,PE000084455,2022-02,-6.5,-76.367,282.0,"TARAPOTO, PE",,,,,,,0.0,"3,",0.0,"3,S",,,,,,,20220205.0,",3,S",,,,,20.0,"3,S,05,",,,,,,,,,,,21.99,"3,,,S",,,,,,,,
9,PE000084455,2022-03,-6.5,-76.367,282.0,"TARAPOTO, PE",,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20220316.0,",5,S",,,,,20.0,"5,S,16,",,,,,,,,,,,22.05,"5,,,S",,,,,,,,
10,PE000084455,2022-04,-6.5,-76.367,282.0,"TARAPOTO, PE",,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20220422.0,",5,S",,,,,20.2,"5,S,22,",,,,,,,,,,,21.93,"5,,,S",,,,,,,,
11,PE000084455,2022-06,-6.5,-76.367,282.0,"TARAPOTO, PE",,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20220614.0,",5,S",,,,,14.7,"5,S,14,",,,,,,,,,,,19.6,"5,,,S",,,,,,,,
12,PE000084455,2022-08,-6.5,-76.367,282.0,"TARAPOTO, PE",,,,,,,0.0,"3,S",0.0,"3,S",,,,,,,20220821.0,",3,S",,,,,14.5,"3,S,21,",,,,,,,,,,,19.38,"3,,,S",,,,,,,,
13,PE000084455,2022-10,-6.5,-76.367,282.0,"TARAPOTO, PE",,,,,,,0.0,"3,S",0.0,"3,S",,,,,,,20221010.0,",3,S",,,,,19.2,"3,S,10,",,,,,,,,,,,21.78,"3,,,S",,,,,,,,
14,PE000084455,2022-12,-6.5,-76.367,282.0,"TARAPOTO, PE",,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20221227.0,",5,S",,,,,18.7,"5,S,27,",,,,,,,,,,,21.21,"5,,,S",,,,,,,,
15,PE000084752,2021-01,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"2,S",0.0,"2,S",,,,,,,20210117.0,",2,S",,,,,7.7,"2,S,17,",,,,,,,,,,,10.18,"2,,,S",,,,,,,,
16,PE000084752,2021-03,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"3,S",0.0,"3,S",,,,,,,20210311.0,",3,S",,,,,7.3,"3,S,11,",,,,,,,,,,,10.09,"3,,,S",,,,,,,,
17,PE000084752,2021-04,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"4,",0.0,"4,S",,,,,,,20210420.0,",4,S",,,,,5.5,"4,S,20,",,,,,,,,,,,9.13,"4,,,S",,,,,,,,
18,PE000084752,2021-05,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"3,",0.0,"3,S",,,,,,,20210521.0,",3,S",,,,,5.8,"3,S,21,",,,,,,,,,,,8.68,"3,,,S",,,,,,,,
19,PE000084752,2021-08,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"2,S",0.0,"2,S",,,,,,,20210825.0,",2,S",,,,,4.6,"2,S,25,",,,,,,,,,,,7.24,"2,,,S",,,,,,,,
20,PE000084752,2021-09,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"2,S",0.0,"2,S",,,,,,,20210902.0,",2,S",,,,,6.6,"2,S,02,",,,,,,,,,,,9.01,"2,,,S",,,,,,,,
21,PE000084752,2021-10,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,",S",0.0,",S",,,,,,,20211026.0,",,S",,,,,5.4,",S,26,",,,,,,,,,,,8.72,",,,S",,,,,,,,
22,PE000084752,2021-11,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"1,S",0.0,"1,S",,,,,,,20211118.0,",1,S",,,,,6.4,"1,S,18,",,,,,,,,,,,8.72,"1,,,S",,,,,,,,
23,PE000084752,2021-12,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"1,",0.0,"1,S",,,,,,,20211214.0,",1,S",,,,,7.6,"1,S,14,",,,,,,,,,,,10.69,"1,,,S",,,,,,,,
24,PE000084752,2022-01,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20220105.0,",5,S",,,,,7.2,"5,S,05,",,,,,,,,,,,10.43,"5,,,S",,,,,,,,
25,PE000084752,2022-02,-16.332,-71.567,2520.0,"AREQUIPA, PE",,,,,,,0.0,"4,",0.0,"4,S",,,,,,,20220227.0,",4,S",,,,,1.1,"4,S,27,",,,,,,,,,,,9.35,"4,,,S",,,,,,,,
