,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES
0,BR000082861,2021-03,-8.25,-49.28,,"CONCEICAO DO ARAGUAIA, BR",20.0,"3,S",15.0,"3,S",3.0,"3,S",20210310.0,",3,S",41.9,"3,,S,10,",204.4,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BR000352000,2021-01,-3.2,-52.2,112.0,"ALTAMIRA, BR",21.0,"4,S",17.0,"4,S",7.0,"4,S",20210109.0,",4,S",87.1,"4,,S,09,",482.3,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BR000352000,2021-03,-3.2,-52.2,112.0,"ALTAMIRA, BR",27.0,",S",22.0,",S",4.0,",S",20210302.0,",,S",77.0,",,S,02,",365.5,",,,S",0.0,"4,",0.0,"4,S",,,,,,,20210326.0,",4,S",,,18.6,"4,S,26,",,,,,,,19.7,"4,,,S",,,,,,,,,,,,,,,,,,
3,BR000352000,2021-04,-3.2,-52.2,112.0,"ALTAMIRA, BR",21.0,"4,S",17.0,"4,S",5.0,"4,S",20210402.0,",4,S",55.9,"4,,S,02,",333.4,"4,,,S",0.0,"5,",0.0,"5,S",,,,,,,20210429.0,"+,5,S",,,19.0,"5,S,29,+",,,,,,,20.04,"5,,,S",,,,,,,,,,,,,,,,,,
4,BR000352000,2021-05,-3.2,-52.2,112.0,"ALTAMIRA, BR",,,,,,,,,,,,,0.0,"5,",0.0,"5,S",,,,,,,20210518.0,",5,S",,,19.1,"5,S,18,",,,,,,,20.22,"5,,,S",,,,,,,,,,,,,,,,,,
5,BR000352000,2021-06,-3.2,-52.2,112.0,"ALTAMIRA, BR",,,,,,,,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20210629.0,",5,S",,,17.8,"5,S,29,",,,,,,,19.91,"5,,,S",,,,,,,,,,,,,,,,,,
6,BR000352000,2022-12,-3.2,-52.2,112.0,"ALTAMIRA, BR",18.0,"4,S",12.0,"4,S",2.0,"4,S",20221231.0,",4,S",34.0,"4,,S,31,",179.2,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BR002554002,2021-01,-25.733,-54.467,279.0,"IGUAZU AERO, BR",,,,,,,,,,,,,0.0,"4,S",0.0,"4,S",,,,,,,20210119.0,",4,S",,,19.4,"4,S,19,",,,,,,,20.9,"4,,,S",,,,,,,,,,,,,,,,,,
8,BR002554002,2021-04,-25.733,-54.467,279.0,"IGUAZU AERO, BR",,,,,,,,,,,,,0.0,",S",0.0,",S",,,,,,,20210429.0,",,S",,,8.0,",S,29,",,,,,,,16.29,",,,S",,,,,,,,,,,,,,,,,,
9,BR002554002,2021-05,-25.733,-54.467,279.0,"IGUAZU AERO, BR",,,,,,,,,,,,,0.0,"2,S",0.0,"2,S",,,,,,,20210524.0,",2,S",,,4.5,"2,S,24,",,,,,,,12.2,"2,,,S",,,,,,,,,,,,,,,,,,
10,BR002554002,2021-06,-25.733,-54.467,279.0,"IGUAZU AERO, BR",,,,,,,,,,,,,0.0,"4,S",0.0,"4,S",,,,,,,20210630.0,",4,S",,,0.6,"4,S,30,",,,,,,,12.22,"4,,,S",,,,,,,,,,,,,,,,,,
11,BR002554002,2021-07,-25.733,-54.467,279.0,"IGUAZU AERO, BR",,,,,,,,,,,,,0.0,"4,S",4.0,"4,S",,,,,,,20210730.0,",4,S",,,-1.4,"4,S,30,",,,,,,,8.0,"4,,,S",,,,,,,,,,,,,,,,,,
12,BR002554002,2021-08,-25.733,-54.467,279.0,"IGUAZU AERO, BR",,,,,,,,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20210803.0,",5,S",,,4.5,"5,S,03,",,,,,,,14.06,"5,,,S",,,,,,,,,,,,,,,,,,
13,BR002554002,2021-11,-25.733,-54.467,279.0,"IGUAZU AERO, BR",,,,,,,,,,,,,0.0,"3,S",0.0,"3,S",,,,,,,20211130.0,"+,3,S",,,14.5,"3,S,30,+",,,,,,,19.08,"3,,,S",,,,,,,,,,,,,,,,,,
14,BR002554002,2021-12,-25.733,-54.467,279.0,"IGUAZU AERO, BR",,,,,,,,,,,,,0.0,"4,S",0.0,"4,S",,,,,,,20211201.0,",4,S",,,15.6,"4,S,01,",,,,,,,20.43,"4,,,S",,,,,,,,,,,,,,,,,,
15,BR002554002,2022-01,-25.733,-54.467,279.0,"IGUAZU AERO, BR",,,,,,,,,,,,,0.0,"2,S",0.0,"2,S",,,,,,,20220110.0,",2,S",,,17.8,"2,S,10,",,,,,,,21.85,"2,,,S",,,,,,,,,,,,,,,,,,
16,BR002554002,2022-02,-25.733,-54.467,279.0,"IGUAZU AERO, BR",,,,,,,,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20220208.0,",5,S",,,14.0,"5,S,08,",,,,,,,20.18,"5,,,S",,,,,,,,,,,,,,,,,,
17,BR002554002,2022-07,-25.733,-54.467,279.0,"IGUAZU AERO, BR",,,,,,,,,,,,,0.0,"4,S",0.0,"4,S",,,,,,,20220718.0,",4,S",,,4.7,"4,S,18,",,,,,,,13.67,"4,,,S",,,,,,,,,,,,,,,,,,
18,BR00E3-0520,2021-01,-23.617,-46.65,802.0,"SAO PAULO AEROPORT, BR",12.0,",S",9.0,",S",2.0,",S",20210126.0,"+,,S",27.9,",,S,26,+",145.7,",,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BR00E3-0520,2021-02,-23.617,-46.65,802.0,"SAO PAULO AEROPORT, BR",13.0,"5,S",9.0,"5,S",3.0,"5,S",20210225.0,",5,S",36.1,"5,,S,25,",170.5,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,BR00E3-0520,2021-03,-23.617,-46.65,802.0,"SAO PAULO AEROPORT, BR",13.0,",S",9.0,",S",0.0,",S",20210318.0,",,S",21.1,",,S,18,",104.3,",,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,BR00E3-0520,2021-04,-23.617,-46.65,802.0,"SAO PAULO AEROPORT, BR",5.0,"1,S",3.0,"1,S",0.0,"1,S",20210418.0,",1,S",5.1,"1,,S,18,",13.5,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BR00E3-0520,2021-05,-23.617,-46.65,802.0,"SAO PAULO AEROPORT, BR",5.0,",S",3.0,",S",0.0,",S",20210513.0,",,S",17.0,",,S,13,",33.1,",,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BR00E3-0520,2021-06,-23.617,-46.65,802.0,"SAO PAULO AEROPORT, BR",3.0,",S",0.0,",S",0.0,",S",20210608.0,",,S",2.0,",,S,08,",3.3,",,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BR00E3-0520,2021-07,-23.617,-46.65,802.0,"SAO PAULO AEROPORT, BR",2.0,",S",1.0,",S",0.0,",S",20210729.0,",,S",3.0,",,S,29,",4.0,",,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,BR00E3-0520,2021-08,-23.617,-46.65,802.0,"SAO PAULO AEROPORT, BR",3.0,",S",2.0,",S",0.0,",S",20210828.0,",,S",13.0,",,S,28,",21.1,",,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BR00E3-0520,2021-09,-23.617,-46.65,802.0,"SAO PAULO AEROPORT, BR",3.0,"3,S",0.0,"3,S",0.0,"3,S",20210910.0,",3,S",1.0,"3,,S,10,",1.6,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,BR00E3-0520,2021-10,-23.617,-46.65,802.0,"SAO PAULO AEROPORT, BR",14.0,",S",6.0,",S",0.0,",S",20211013.0,",,S",7.9,",,S,13,",43.8,",,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BR00E3-0520,2021-11,-23.617,-46.65,802.0,"SAO PAULO AEROPORT, BR",5.0,",S",3.0,",S",1.0,",S",20211119.0,",,S",30.0,",,S,19,",47.6,",,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,BR00E3-0520,2021-12,-23.617,-46.65,802.0,"SAO PAULO AEROPORT, BR",10.0,",S",6.0,",S",0.0,",S",20211231.0,"+,,S",18.0,",,S,31,+",61.7,",,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,BR00E3-0520,2022-01,-23.617,-46.65,802.0,"SAO PAULO AEROPORT, BR",19.0,",S",16.0,",S",4.0,",S",20220130.0,",,S",52.1,",,S,30,",248.9,",,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
