,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
0,BUM00015502,2021-01,43.983,22.85,595.0,"VIDIN, BU",0.0,S,0.0,",S",15.0,"1,S",11.0,"1,S",1.0,"1,S",,,0.0,",S",24.0,",S",0.0,",S",0.0,",S",0.0,",S",20210118.0,",,S",,,20210111.0,",1,S",20210130.0,",,S",-9.8,",S,18,",,,28.4,"1,,S,11,",14.8,",S,30,",1455.0,S,502.9,",S",121.4,"1,,,S",2.11,",S",6.23,",,,S",-2.01,",,,S"
1,BUM00015502,2021-02,43.983,22.85,595.0,"VIDIN, BU",0.0,S,0.0,"4,S",5.0,"5,S",0.0,"5,S",0.0,"5,S",,,0.0,"4,S",13.0,"4,S",1.0,"4,S",1.0,"4,S",0.0,"4,S",20210217.0,",4,S",,,20210210.0,",5,S",20210227.0,",4,S",-9.2,"4,S,17,",,,1.5,"5,,S,10,",23.0,"4,S,27,",1790.0,S,335.0,"4,S",3.1,"5,,,S",4.38,"4,S",10.04,"4,,,S",-1.29,"4,,,S"
2,BUM00015502,2021-03,43.983,22.85,595.0,"VIDIN, BU",0.0,S,0.0,",S",11.0,",S",7.0,",S",0.0,",S",,,0.0,",S",16.0,",S",0.0,",S",1.0,",S",0.0,",S",20210308.0,",,S",,,20210316.0,",,S",20210305.0,",,S",-8.3,",S,08,",,,16.5,",,S,16,",21.4,",S,05,",2174.6,S,384.6,",S",75.2,",,,S",5.93,",S",12.62,",,,S",-0.77,",,,S"
3,BUM00015502,2021-04,43.983,22.85,595.0,"VIDIN, BU",0.0,S,0.0,",S",11.0,",S",4.0,",S",0.0,",S",,,0.0,",S",7.0,",S",0.0,",S",6.0,",S",0.0,",S",20210410.0,",,S",,,20210418.0,",,S",20210430.0,",,S",-4.8,",S,10,",,,11.7,",,S,18,",24.5,",S,30,",2430.8,S,256.2,",S",36.8,",,,S",9.79,",S",16.56,",,,S",3.02,",,,S"
4,BUM00015502,2021-05,43.983,22.85,595.0,"VIDIN, BU",10.6,S,10.6,",S",10.0,",S",4.0,",S",0.0,",S",,,0.0,",S",0.0,",S",0.0,",S",27.0,",S",0.0,",S",20210509.0,",,S",,,20210518.0,",,S",20210502.0,",,S",0.7,",S,09,",,,14.5,",,S,18,",31.4,",S,02,",2495.5,S,64.7,",S",45.5,",,,S",16.59,",S",23.92,",,,S",9.25,",,,S"
5,BUM00015502,2021-06,43.983,22.85,595.0,"VIDIN, BU",125.9,S,115.3,",S",8.0,",S",5.0,",S",0.0,",S",,,0.0,",S",0.0,",S",0.0,",S",29.0,",S",9.0,",S",20210603.0,",,S",,,20210618.0,",,S",20210625.0,",,S",8.4,",S,03,",,,16.5,",,S,18,",36.8,",S,25,",2507.6,S,12.1,",S",49.2,",,,S",21.77,",S",29.18,",,,S",14.37,",,,S"
6,BUM00015502,2021-07,43.983,22.85,595.0,"VIDIN, BU",335.7,S,209.8,",S",4.0,",S",3.0,",S",0.0,",S",,,0.0,",S",0.0,",S",0.0,",S",31.0,",S",22.0,",S",20210711.0,",,S",,,20210719.0,",,S",20210729.0,",,S",12.8,",S,11,",,,13.0,",,S,19,",37.8,",S,29,",0.0,S,0.0,",S",27.5,",,,S",25.1,",S",33.17,",,,S",17.03,",,,S"
7,BUM00015502,2021-08,43.983,22.85,595.0,"VIDIN, BU",507.8,S,172.1,",S",3.0,",S",2.0,",S",0.0,",S",,,0.0,",S",0.0,",S",0.0,",S",31.0,",S",20.0,",S",20210831.0,",,S",,,20210829.0,",,S",20210801.0,",,S",9.3,",S,31,",,,3.8,",,S,29,",39.1,",S,01,",0.0,S,0.0,",S",7.7,",,,S",23.88,",S",32.76,",,,S",15.0,",,,S"
8,BUM00015502,2021-09,43.983,22.85,595.0,"VIDIN, BU",533.2,S,25.4,",S",3.0,",S",2.0,",S",0.0,",S",,,0.0,",S",0.0,",S",0.0,",S",25.0,",S",3.0,",S",20210924.0,",,S",,,20210929.0,",,S",20210917.0,",,S",4.5,",S,24,",,,4.8,",,S,29,",32.6,",S,17,",40.0,S,40.0,",S",8.4,",,,S",17.84,",S",26.04,",,,S",9.64,",,,S"
9,BUM00015502,2021-10,43.983,22.85,595.0,"VIDIN, BU",533.2,S,0.0,",S",9.0,",S",8.0,",S",1.0,",S",,,0.0,",S",7.0,",S",0.0,",S",3.0,",S",0.0,",S",20211028.0,",,S",,,20211016.0,",,S",20211022.0,",,S",-3.3,",S,28,",,,27.2,",,S,16,",23.6,",S,22,",305.4,S,265.4,",S",98.5,",,,S",9.77,",S",15.76,",,,S",3.78,",,,S"
